Freq,Trace1,Trace2,Trace3,Trace4
100000000,-79.2309103657267,0,0,0
114875000,-78.9433075461502,0,0,0
129750000,-78.8377713900475,0,0,0
144625000,-78.4954461960551,0,0,0
159500000,-78.0311126161672,0,0,0
174375000,-77.7918007239113,0,0,0
189250000,-77.7376615173601,0,0,0
204125000,-76.9543779214997,0,0,0
219000000,-76.6842232378742,0,0,0
233875000,-76.2579215387,0,0,0
248750000,-75.5639309385566,0,0,0
263625000,-74.507331804387,0,0,0
278500000,-73.736419780573,0,0,0
293375000,-72.7736028203939,0,0,0
308250000,-72.3050880261082,0,0,0
323125000,-70.6470112821157,0,0,0
338000000,-71.217853737971,0,0,0
352875000,-70.7854234755353,0,0,0
367750000,-69.7545975885433,0,0,0
382625000,-67.1489474268864,0,0,0
397500000,-62.7655518810243,0,0,0
412375000,-57.290879048013,0,0,0
427250000,-58.5298207827622,0,0,0
442125000,-52.2681559296929,0,0,0
457000000,-48.3164302280742,0,0,0
471875000,-51.6009943578868,0,0,0
486750000,-56.0645270122641,0,0,0
501625000,-54.4332894655532,0,0,0
516500000,-51.7473923495635,0,0,0
531375000,-46.7009920734264,0,0,0
546250000,-48.3617374390711,0,0,0
561125000,-56.7931814802128,0,0,0
576000000,-48.7538042599582,0,0,0
590875000,-48.852760893723,0,0,0
605750000,-50.3822235247869,0,0,0
620625000,-50.4877392257106,0,0,0
635500000,-43.4394045402405,0,0,0
650375000,-38.9639439783562,0,0,0
665250000,-42.4938946019502,0,0,0
680125000,-37.8172856018993,0,0,0
695000000,-35.7366976344012,0,0,0
709875000,-41.3398076105538,0,0,0
724750000,-42.1088787383372,0,0,0
739625000,-32.1196570863655,0,0,0
754500000,-35.570903729936,0,0,0
769375000,-33.9004733034871,0,0,0
784250000,-28.2553774437652,0,0,0
799125000,-31.6250447058421,0,0,0
814000000,-29.1626626065443,0,0,0
828875000,-29.4245072885616,0,0,0
843750000,-29.1460007048372,0,0,0
858625000,-28.2560022850431,0,0,0
873500000,-31.9958742102393,0,0,0
888375000,-31.7766629103122,0,0,0
903250000,-31.5948272237896,0,0,0
918125000,-30.8427419157836,0,0,0
933000000,-32.9752018872023,0,0,0
947875000,-31.9480012174786,0,0,0
962750000,-30.587974247366,0,0,0
977625000,-30.9461172112377,0,0,0
992500000,-30.5767184373463,0,0,0
1007375000,-29.9704732897984,0,0,0
1022250000,-30.2787238028498,0,0,0
1037125000,-29.2901316893567,0,0,0
1052000000,-28.4811286561025,0,0,0
1066875000,-25.6044889188678,0,0,0
1081750000,-25.2734844845867,0,0,0
1096625000,-30.6772431294165,0,0,0
1111500000,-37.9123806459709,0,0,0
1126375000,-36.0963182700797,0,0,0
1141250000,-36.0595075889981,0,0,0
1156125000,-35.6838404682277,0,0,0
1171000000,-34.1172224578585,0,0,0
1185875000,-34.4203413332106,0,0,0
1200750000,-34.8549518697405,0,0,0
