246,629094,4519414,1019.48
247,629093.7,4519420,1019.46
248,629093.2,4519425,1019.43
249,629093.8,4519431,1019.57
250,629095.3,4519438,1019.58
251,629095.5,4519445,1019.55
252,629095.1,4519450,1019.46
253,629090.4,4519454,1019.5
254,629084.9,4519454,1019.49
255,629089.6,4519457,1018.98
256,629091.8,4519449,1019.11
257,629093.1,4519443,1019.19
258,629093,4519436,1019.27
259,629090.2,4519430,1019.29
260,629084.8,4519424,1019.28
261,629077.8,4519419,1019.27
262,629070.8,4519414,1019.27
263,629062.5,4519408,1019.18
264,629054.1,4519403,1019.16
265,629041.8,4519397,1019.11
266,629033.2,4519393,1019.1
267,629024.8,4519389,1019.12
268,629016.3,4519385,1019.1
269,629007.9,4519381,1019.09
270,628995.4,4519374,1019.09
271,628987.1,4519371,1019.09
272,628978.9,4519367,1019.07
273,628971.3,4519363,1019.09
274,628965,4519360,1019.12
275,628961.9,4519354,1019.13
276,628966,4519351,1019.22
277,628961.1,4519353,1019.25
278,628967.4,4519351,1019.33
279,628974.1,4519349,1019.34
280,628981.4,4519350,1019.36
281,628988.9,4519350,1019.38
282,629000.4,4519350,1019.36
283,629008.1,4519350,1019.29
284,629015.6,4519351,1019.27
285,629023.2,4519353,1019.25
286,629030.6,4519354,1019.24
287,629038.9,4519354,1019.25
288,629047.8,4519354,1019.25
289,629057.1,4519354,1019.25
290,629066.6,4519354,1019.24
291,629075.9,4519355,1019.22
292,629084.6,4519355,1019.21
293,629096.8,4519355,1019.2
294,629105.2,4519355,1019.19
295,629118.1,4519356,1019.22
296,629126.3,4519356,1019.25
297,629133.7,4519356,1019.28
298,629140,4519356,1019.23
299,629145.8,4519358,1019.11
300,629149.4,4519363,1019.08
301,629152.3,4519369,1019.1
302,629155.3,4519375,1019.11
303,629159.7,4519380,1019.1
304,629164.6,4519383,1019.07
305,629169.3,4519386,1019.02
306,629172.9,4519390,1018.98
307,629173.8,4519396,1019.02
308,629174,4519403,1019.03
309,629173.8,4519410,1019.03
310,629173.7,4519421,1019.07
311,629173.6,4519427,1019.09
312,629173.6,4519435,1019.1
313,629168.7,4519437,1019.23
314,629162.5,4519437,1019.37
315,629158.9,4519431,1019.27
316,629162.8,4519426,1019.18
317,629168.4,4519427,1019.18
318,629172.6,4519432,1019.22
319,629176.9,4519435,1019.27
320,629182.1,4519438,1019.31
321,629186.3,4519441,1019.38
322,629188.9,4519445,1019.49
323,629189.8,4519452,1019.79
324,629190,4519459,1019.78
325,629190,4519467,1019.7
326,629190.1,4519475,1019.64
327,629190.3,4519483,1019.56
328,629190.5,4519490,1019.5
329,629190.3,4519498,1019.48
330,629190,4519505,1019.47
331,629189.6,4519512,1019.42
332,629189.3,4519518,1019.36
333,629191.4,4519524,1019.31
334,629198.5,4519524,1019.25
335,629203.6,4519519,1019.22
336,629212.3,4519511,1019.21
337,629218.9,4519508,1019.25
338,629225.3,4519507,1019.21
339,629233,4519503,1019.14
