Theta [deg],dB(rETotal) [] - Phi=0deg,dB(rETotal) [] - Phi=45deg,dB(rETotal) [] - Phi=90deg,dB(rEZ) [] - Phi=45deg
-180,-9.59574607688257,-9.59574607688257,-9.59574607688256,-317.104667444631
-179,-9.64386559921153,-10.0014731016622,-10.4740215198276,-47.6203434163708
-178,-9.94635709931257,-11.6732839003129,-13.7105124647802,-43.6961086126558
-177,-10.0543946270587,-15.0648134070534,-20.711175238064,-44.7079483745712
-176,-9.57745717029506,-20.649954973063,-17.1186010158934,-53.4743053985153
-175,-8.70006674820569,-19.385842462522,-11.4187070399967,-43.5953541245201
-174,-7.9551132503963,-14.0918055679245,-8.94399253789683,-35.8179479583708
-173,-7.74862929106847,-10.9162124013705,-8.5562252133366,-31.3523009477985
-172,-8.32925044115989,-9.06664680931231,-10.2826503621734,-28.314030831522
-171,-9.91914817139797,-8.10117433665494,-15.6672710768836,-26.1527668808076
-170,-12.7691040074169,-7.88546121341515,-21.4246834206961,-24.7658609780584
-169,-16.4802418428591,-8.48279849519393,-10.9130380542144,-24.2871740271892
-168,-16.9925813917322,-10.1109831708513,-6.42719361609715,-24.9678181379478
-167,-14.6125955287114,-12.8524479840001,-4.50592919969323,-26.7288851500195
-166,-13.462082304523,-14.2335793430918,-4.48583826903002,-26.7061495736336
-165,-14.0933319448024,-11.2510940733952,-6.72994871850277,-23.0680887371668
-164,-15.8825894382862,-8.34712659875192,-13.1408471966435,-19.8928488671126
-163,-14.9457266358362,-6.90339462081207,-11.3050885750617,-18.1960455493034
-162,-11.124629308295,-6.72778816750994,-4.02703286916363,-17.8111114495032
-161,-8.31041875620347,-7.3923129532966,-0.694906507282647,-18.3312945961412
-160,-7.11237634540553,-8.21286861314256,0.3584933310881,-18.9220893404091
-159,-7.61872352468337,-8.82530386129055,-0.582782959707734,-18.9572027667464
-158,-10.300820586787,-9.90617259566356,-3.954163170597,-19.1851589104846
-157,-16.720983601065,-11.9445459603886,-9.51626272631554,-20.2290303704903
-156,-18.6347423782637,-11.5005029166578,-6.51734587444156,-19.6440704622149
-155,-12.3625381158936,-7.66135868103424,-3.01930450202327,-16.2290390884208
-154,-10.2433161946205,-5.02857666479946,-2.39233904150789,-13.6386455938597
-153,-10.5213636585558,-4.32441775651998,-3.80062343362565,-12.9769658688781
-152,-12.3848886276487,-5.58283672086962,-5.95263769866299,-14.573546855835
-151,-14.9846249879974,-8.96090451025321,-7.16968916599264,-19.2311193393075
-150,-17.2229574322076,-12.7173932911916,-8.58692681997907,-22.8463835324718
-149,-17.5589461067736,-11.6585422434413,-9.14274360534281,-18.0956147860313
-148,-14.6825752802716,-10.8445395255574,-5.13725385902908,-16.5437250887604
-147,-11.7139839644807,-11.9230974259675,-2.16839766714245,-17.7441096369392
-146,-10.4292934004079,-11.0875451238037,-1.59174399202659,-18.2013795482046
-145,-10.9206280255847,-8.42626267408149,-2.89248568131523,-15.8650338800379
-144,-12.4450483552682,-7.48723254203863,-4.4573236438569,-14.9028054443179
-143,-13.3031723342531,-9.03253097398948,-5.04576127735486,-16.8864166334946
-142,-13.4313615912833,-13.5419435934293,-6.28688099001932,-22.914789534963
-141,-13.2528268080349,-16.1735136354969,-6.50936443344087,-21.0849168233311
-140,-11.7239064576575,-11.3975778756416,-3.84643874915532,-15.9856078873417
-139,-10.3379797811329,-8.67734797801188,-2.56463329812304,-14.2001285314889
-138,-10.4144769898798,-7.68747718450578,-3.42913058205085,-13.9914673338551
-137,-11.2663948122468,-7.80097910701607,-5.10926503723379,-14.195680450267
-136,-11.6883018796255,-8.97030625669471,-6.0337330123959,-14.8495549835291
-135,-12.8995767314336,-11.3624594867904,-6.03329758623213,-17.1093751131527
-134,-16.3035287351187,-13.5201508905657,-4.67558229566559,-21.1649639071877
-133,-17.2380972934801,-12.3733506961774,-4.06820420902992,-19.4985549333284
-132,-14.6406095120028,-10.9789715707018,-5.84306620048731,-15.9726296993474
-131,-13.2052661897997,-10.8946495926991,-7.62844906657233,-14.7239220607183
-130,-12.2721012730412,-10.9307135456824,-5.85799437102704,-15.0876358426465
-129,-12.8888080284825,-10.2627655279175,-4.92720692872487,-16.0725560011123
-128,-15.6844082928567,-9.86171878737941,-5.19897926582171,-16.3439737019209
-127,-16.0438331548731,-10.5008141288254,-5.71948896010523,-16.6686859515137
-126,-13.9827933007659,-12.6743031807259,-5.29684888621489,-20.0303014111609
-125,-11.7699321354016,-16.3282286254865,-3.77222755868443,-30.5352436862863
-124,-9.81579748614521,-15.607801940924,-4.27908548507932,-20.0050059707395
-123,-10.1699953269194,-13.0445129573533,-7.53674421341342,-17.2791000666235
-122,-12.0715014840994,-13.4804091323643,-6.51648150565517,-20.0520847235164
-121,-11.2193803792941,-16.4190991334026,-5.36725242176754,-27.7275800646226
-120,-10.4891485217083,-17.1925715860523,-8.13242064150541,-22.4204874578804
-119,-10.9760245564047,-15.8185607589402,-7.80359907387547,-20.2785387924232
-118,-10.0542491950958,-15.4384044025951,-5.3874019661056,-20.7196926304541
-117,-9.24320517884345,-15.1864133176124,-5.37833237877949,-19.8425102671646
-116,-9.52252666871716,-15.5102360001335,-5.94732815437082,-18.9803087242408
-115,-9.35158244296722,-15.7208249098577,-5.99044056306436,-21.0728931262511
-114,-8.41739939173902,-15.0844035767849,-5.82856022245382,-23.3813407093608
-113,-8.58598394552974,-16.0927601022863,-6.59385836594594,-20.1099306231966
-112,-10.1462566642876,-16.8000234642919,-6.99661244982112,-19.9327286748129
-111,-9.03994543283587,-15.4179538865135,-6.67348836652287,-21.4956864813364
-110,-6.55779429543842,-17.58804559335,-8.29730552028288,-20.8065236270779
-109,-6.02415513721377,-16.1746320183271,-7.70641285089572,-22.2731345027151
-108,-7.25013115598514,-11.7284731155827,-6.5036448886565,-22.908924584138
-107,-7.81206139183173,-12.6651195460482,-8.03418698983355,-22.2899787911721
-106,-5.76348055843817,-17.6147110359409,-6.93226126880759,-27.8447870028417
-105,-4.64031281088158,-14.4377062633519,-6.30145139204978,-24.1599820851074
-104,-5.67071741413339,-15.8287583214958,-9.8523445799944,-21.4965956027997
-103,-5.87372362286336,-18.1736315283018,-10.3913221116752,-20.5288429445928
-102,-3.81237061544345,-11.9635462214988,-7.77933205742305,-18.6716485678676
-101,-3.93308540899096,-12.1352194077714,-8.93934835487374,-22.1976037271582
-100,-6.67129016907058,-12.8231264513365,-11.7036386310435,-24.0153404729902
-99,-4.85840688663832,-11.3250947003647,-10.6255374468932,-18.3453484342325
-98,-2.81163644929287,-14.8591182552717,-10.3518856206786,-21.2736132278798
-97,-4.63658109223488,-13.9802647143984,-10.8306237008535,-23.6300713781809
-96,-5.59094915445521,-10.0531362208216,-9.00362166740741,-18.0651710910727
