"F [GHz]","dB(S(Port1,Port1)) []","dB(S(Port1,Port2)) []","dB(S(Port1,Port3)) []"
2.625,-13.4630125191848,-3.53751438277127,-3.38743197438828
2.65,-13.5017947264707,-3.53656043634962,-3.38880497464093
2.675,-13.5530680053509,-3.53464786232512,-3.38998108199365
2.7,-13.6163535105636,-3.53182781997989,-3.39099565227574
2.725,-13.6911799258237,-3.52815975456415,-3.39188157119819
2.75,-13.7770772411248,-3.52371005988375,-3.39266931146831
2.775,-13.8735708612423,-3.51855061488369,-3.39338710414524
2.8,-13.9801760729729,-3.51275725857221,-3.39406117600969
2.825,-14.0963928875621,-3.50640827016363,-3.39471600568217
2.85,-14.2217013276239,-3.49958291125845,-3.39537455800328
2.875,-14.3555572572811,-3.49236007575146,-3.39605846604187
2.9,-14.4973888669825,-3.48481708092776,-3.39678814205263
2.925,-14.6465939925981,-3.47702861981742,-3.39758280728193
2.95,-14.8025384418986,-3.4690658837009,-3.39846044296626
2.975,-14.9645555467503,-3.46099585596138,-3.39943766928456
3,-15.1319471840051,-3.45288076865246,-3.40052956694883
3.025,-15.3039864923623,-3.44477771211338,-3.40174945744074
3.05,-15.4799225215964,-3.43673838227543,-3.4031086607439
3.075,-15.6589870100341,-3.4288089514327,-3.40461624766773
3.1,-15.840403428194,-3.42103004593471,-3.40627880467603
3.125,-16.0233983297035,-3.41343681897123,-3.40810022358671
3.15,-16.2072149480709,-3.40605910188226,-3.41008153068948
3.175,-16.3911288124977,-3.39892162517055,-3.41222076180987
3.2,-16.5744650002914,-3.39204429666071,-3.41451289141595
3.225,-16.7566164675291,-3.38544252766937,-3.41694981922021
3.25,-16.9370627424047,-3.37912759829761,-3.41952041592999
3.275,-17.1153881332744,-3.37310705414876,-3.4222106275683
3.3,-17.2912985393448,-3.36738512650816,-3.42500363650024
3.325,-17.4646359403153,-3.361963168743,-3.42788007610333
3.35,-17.635389736256,-3.35684010224071,-3.43081829403582
3.375,-17.8037042607268,-3.35201286502731,-3.43379465920437
3.4,-17.9698820279887,-3.34747685706645,-3.43678390597531
3.425,-18.134382557789,-3.34322637496407,-3.43975951017568
3.45,-18.2978168970678,-3.33925503107279,-3.44269408964622
3.475,-18.4609382350506,-3.33555615175709,-3.44555982219019
3.5,-18.6246292266541,-3.33212314785722,-3.44832887586786
3.525,-18.789886755973,-3.32894985519993,-3.45097384270149
3.55,-18.957804924816,-3.32603083885227,-3.45346817150739
3.575,-19.1295569903046,-3.32336165989955,-3.45578659131267
3.6,-19.3063768440655,-3.320939099719,-3.45790552135522
3.625,-19.489540367071,-3.31876134211481,-3.45980346003437
3.65,-19.6803467566863,-3.31682810989346,-3.46146134875119
3.675,-19.880099500493,-3.31514075858228,-3.46286290312933
3.7,-20.0900863434428,-3.31370232374301,-3.46399490965581
3.725,-20.3115570204376,-3.31251752613163,-3.46484748086712
3.75,-20.5456970078283,-3.31159273530351,-3.46541426552959
3.775,-20.7935947881568,-3.31093589292734,-3.46569261138749
3.8,-21.0561992013318,-3.31055640091264,-3.46568367513743
3.825,-21.3342623215964,-3.31046497433406,-3.46539247998598
3.85,-21.6282617939047,-3.31067346554559,-3.46482791637011
3.875,-21.9382949163509,-3.31119465979647,-3.46400268721523
3.9,-22.2639348051728,-3.3120420484931,-3.46293319555453
3.925,-22.6040375729844,-3.31322958135619,-3.46163937658333
3.95,-22.9564892611276,-3.3147714012685,-3.46014447570042
3.975,-23.3178847588834,-3.3166815648698,-3.45847477478307
4,-23.6831416416896,-3.31897375160751,-3.45665927085343
4.025,-24.0450757437734,-3.32166096415915,-3.45472931186069
4.05,-24.3940091474121,-3.324755222386,-3.4527181960317
4.075,-24.7175483496432,-3.32826725477199,-3.45066074083285
4.1,-25.0007491659868,-3.33220618950762,-3.44859283034347
4.125,-25.2269316406427,-3.33657924941659,-3.44655094875453
4.15,-25.3793392592292,-3.34139145337276,-3.44457171010601
4.175,-25.4435674759703,-3.34664532942648,-3.44269139233155
4.2,-25.410243323391,-3.35234064254798,-3.44094548600648
4.225,-25.2770634810325,-3.35847414170221,-3.43936826618619
4.25,-25.0493503836184,-3.36503933082713,-3.43799239525555
4.275,-24.7388771802881,-3.37202626668727,-3.43684856505967
4.3,-24.3614801057582,-3.37942138946043,-3.4359651828059
4.325,-23.9343850741903,-3.38720738820839,-3.43536810690971
4.35,-23.4740334459157,-3.39536310578628,-3.43508043547553
4.375,-22.9947504023897,-3.40386348719906,-3.43512234866019
4.4,-22.5082049102775,-3.4126795742578,-3.43551100618609
4.425,-22.0234215073715,-3.42177855054862,-3.43626049845734
4.45,-21.5470896848505,-3.43112384126243,-3.43738184850821
4.475,-21.0839830984023,-3.44067527059696,-3.43888306284223
4.5,-20.6373782264578,-3.45038928286554,-3.44076922592911
4.525,-20.2094207779392,-3.46021923214956,-3.44304263456687
4.55,-19.8014237736122,-3.47011574625268,-3.44570296919478
4.575,-19.414099400774,-3.48002717464996,-3.44874749802423
4.6,-19.0477341511169,-3.48990012879905,-3.45217131658005
4.625,-18.7023184923734,-3.49968013113941,-3.45596762623028
4.65,-18.3776414737386,-3.50931239347316,-3.46012806657742
4.675,-18.0733589354102,-3.51874275760022,-3.46464313036785
4.7,-17.7890421125792,-3.52791885369117,-3.46950271408729
4.725,-17.5242118254129,-3.53679157035229,-3.47469690163508
4.75,-17.2783621531718,-3.54531700543615,-3.48021715917443
4.775,-17.0509766110334,-3.55345921819808,-3.4860582693444
4.8,-16.8415395335265,-3.56119440842501,-3.49222163917824
4.825,-16.6495460876728,-3.56851781459982,-3.49872125772507
4.85,-16.4745176786809,-3.57545615241335,-3.50559502245435
4.875,-16.3160409537703,-3.582092156215,-3.51292762304618
4.9,-16.173887351968,-3.58861765467144,-3.52090009647906
4.925,-16.0484126141263,-3.59545941293475,-3.5299054887761
4.95,-15.9420143476969,-3.60360115465115,-3.54083510963333
4.975,-15.8649042764482,-3.61537588131777,-3.55573122553934
5,-15.8551129079748,-3.63480718575765,-3.57767223452081
5.025,-15.95781553994,-3.65188632696425,-3.59587414206213
5.05,-15.9789642070611,-3.63764522581316,-3.58682103827481
5.075,-15.9123423576847,-3.62077728913574,-3.57968125093019
5.1,-15.8625441969676,-3.60942103494131,-3.57746089066495
5.125,-15.8258496960692,-3.60192085973263,-3.57636953514121
5.15,-15.8134371443192,-3.59743170158146,-3.57788131646596
5.175,-15.8257425095738,-3.59406146391169,-3.58083782385133
5.2,-15.8593933766676,-3.59093259874022,-3.58427071021619
5.225,-15.9121076675021,-3.58772953999788,-3.58771783958623
5.25,-15.982620756634,-3.58434672745991,-3.59095849826479
5.275,-16.0702610126137,-3.58076084770203,-3.59387940872799
5.3,-16.1746961391272,-3.57698400390897,-3.5964196881084
5.325,-16.295797773114,-3.57304467523096,-3.59854746617441
5.35,-16.4335671276489,-3.56897913382404,-3.60024919060605
5.375,-16.5880911906121,-3.56482723687045,-3.60152430578347
5.4,-16.75951419124,-3.56063024180394,-3.60238234218763
5.425,-16.9480163180765,-3.55642964854826,-3.60284114903292
5.45,-17.1537950635985,-3.55226661888386,-3.60292570561021
5.475,-17.3770461125636,-3.54818176376085,-3.60266726681886
5.5,-17.6179412380666,-3.54421521683136,-3.6021027630027
5.525,-17.8766006093444,-3.5404070069589,-3.6012744829187
5.55,-18.1530563141006,-3.53679784479426,-3.60023019159369
5.575,-18.4472024684795,-3.53343062011194,-3.59902403270265
5.6,-18.7587240982521,-3.53035327592734,-3.59771899246366
5.625,-19.0869892307955,-3.52762458014919,-3.59639271705851
5.65,-19.4308668750297,-3.52532644375276,-3.59515110382946
5.675,-19.7883647687901,-3.52359202378173,-3.59416130536615
5.7,-20.155741216757,-3.52267318621439,-3.59373568165147
5.725,-20.5249194223963,-3.52309232368941,-3.59453644678964
5.75,-20.8768516858726,-3.52572100051671,-3.5977606824436
5.775,-21.1904020379741,-3.52940250953512,-3.60220874477919
5.8,-21.5271391040711,-3.52768950185648,-3.59904229596607
5.825,-21.9080019298817,-3.52333780760289,-3.59192814209607
5.85,-22.2716950728006,-3.5202536041161,-3.58751054098511
5.875,-22.5904932434849,-3.51888745698419,-3.58547452127554
5.9,-22.8515987701312,-3.51889273551165,-3.58469654604069
5.925,-23.0456835340837,-3.51983793274473,-3.58465893754395
5.95,-23.1648569158031,-3.52147155248756,-3.58517084590066
5.975,-23.2040303179489,-3.5236623198074,-3.58616054767965
6,-23.1623101326387,-3.5263360875464,-3.58759999761473
6.025,-23.0434845072419,-3.52944427848747,-3.58947800614448
6.05,-22.8555028286984,-3.53294943423849,-3.59178979877198
6.075,-22.6092211449811,-3.53681847475572,-3.59453257151083
6.1,-22.31686939515,-3.54101944275736,-3.59770348118426
6.125,-21.9906640138965,-3.54551989994378,-3.60129872165265
6.15,-21.6418124202998,-3.55028615617483,-3.60531312294771
6.175,-21.2799610748917,-3.55528294982952,-3.60974001623393
6.2,-20.913011202114,-3.56047339272268,-3.61457123812357
6.225,-20.5471802467226,-3.56581908686144,-3.61979720529298
6.25,-20.1871957552097,-3.57128036522592,-3.62540702074205
6.275,-19.8365393606512,-3.57681663494542,-3.6313885860814
6.3,-19.4976907469498,-3.58238681394622,-3.63772870501509
6.325,-19.1723461446995,-3.5879498621888,-3.64441316946221
6.35,-18.8616017711137,-3.59346541706935,-3.65142682605519
6.375,-18.566101457131,-3.59889454900398,-3.65875363245593
6.4,-18.2861518694029,-3.6042006672524,-3.66637672548505
6.425,-18.0218101086788,-3.60935062594039,-3.67427854851264
6.45,-17.7729483421714,-3.61431611981335,-3.68244112767536
6.475,-17.5392991823245,-3.61907554120505,-3.69084666120348
6.5,-17.3204840069379,-3.6236166397589,-3.69947873374523
6.525,-17.1160241924057,-3.62794071072578,-3.70832476295976
6.55,-16.9253315824529,-3.63206994488806,-3.71738093114144
6.575,-16.7476677671929,-3.6360618846028,-3.72666235244071
6.6,-16.5820489275483,-3.64004130616913,-3.73622493175889
6.625,-16.4270551123558,-3.64427889741244,-3.74621478178712
6.65,-16.2805571825209,-3.6494037972339,-3.7569813630418
6.675,-16.1404192578575,-3.65693236396459,-3.76926209398575
6.7,-16.0162501904447,-3.66874935708347,-3.78336418041328
6.725,-15.950972160863,-3.67446162139822,-3.79436331038777
6.75,-15.9184212651225,-3.66597368692235,-3.80175780008139
6.775,-15.8937375400433,-3.656140235802,-3.80090671964466
6.8,-15.8464697215696,-3.65231124916767,-3.80041555401123
6.825,-15.7950570056305,-3.65182854500219,-3.80351420119109
6.85,-15.7520430915211,-3.65238241996474,-3.8078599220438
6.875,-15.7200052941059,-3.65328701559064,-3.81230604030317
6.9,-15.6991924458768,-3.65434727254178,-3.81640591538522
6.925,-15.6894199772744,-3.65550659433724,-3.8199685772674
6.95,-15.690460081603,-3.65675062739738,-3.8229041852936
6.975,-15.702119599038,-3.65807757705187,-3.82516983808671
7,-15.7242508273407,-3.65948799773945,-3.82674847634454
7.025,-15.7567484045776,-3.66098118914283,-3.8276395276239
7.05,-15.7995443641679,-3.66255414183994,-3.82785407169817
7.075,-15.8526039337531,-3.66420156475234,-3.82741188874943
7.1,-15.9159223966423,-3.66591638426409,-3.82633936993238
7.125,-15.9895228314631,-3.66769043010277,-3.82466787973086
7.15,-16.0734544861195,-3.66951515859235,-3.82243240495687
7.175,-16.1677915859978,-3.6713823322419,-3.81967042153564
7.2,-16.272632416326,-3.67328461102663,-3.81642094948517
7.225,-16.3880985535495,-3.67521603510404,-3.81272377773829
7.25,-16.514334138386,-3.67717239263921,-3.80861884424176
7.275,-16.6515050910588,-3.67915147704755,-3.80414575505127
7.3,-16.7997981694819,-3.68115324404545,-3.79934342466405
7.325,-16.9594197468802,-3.68317988153393,-3.7942498206864
7.35,-17.1305941771182,-3.68523580841625,-3.78890179391601
7.375,-17.3135615701022,-3.68732761676556,-3.78333497888174
7.4,-17.5085747538887,-3.68946397415237,-3.77758374896196
7.425,-17.7158951393178,-3.6916554996259,-3.77168121544575
7.45,-17.9357871086983,-3.69391462963881,-3.76565926017738
7.475,-18.1685104429628,-3.69625548940699,-3.75954859613811
7.5,-18.4143101480457,-3.69869378953436,-3.7533788527377
7.525,-18.6734028619461,-3.70124677349082,-3.74717868713975
7.55,-18.9459587824878,-3.70393325424771,-3.74097592875177
7.575,-19.232077799582,-3.7067738006225,-3.73479777338377
7.6,-19.5317582290244,-3.7097911782501,-3.72867105863087
7.625,-19.8448563559633,-3.71301123015597,-3.72262268580619
7.65,-20.1710351543563,-3.71646454833155,-3.71668031753914
7.675,-20.5097017307525,-3.72018962446245,-3.71087363668853
7.7,-20.8599372984301,-3.72423891060935,-3.70523683182319
7.725,-21.2204368321375,-3.72869091758903,-3.69981402638909
7.75,-21.5895186067709,-3.73367553174456,-3.69467259389925
7.775,-21.9654141969343,-3.73942927517046,-3.68994055256284
7.8,-22.3476340807661,-3.74641312411184,-3.68592910881863
7.825,-22.7425559022042,-3.75545114649377,-3.6835930343924
7.85,-23.179830828372,-3.76633178748323,-3.68598512724953
7.875,-23.6545057308221,-3.76849731618093,-3.69465430139154
7.9,-23.9978358953463,-3.76426682559354,-3.69619772761067
7.925,-24.3436731126524,-3.77417987075258,-3.69069066053056
7.95,-24.6264516105963,-3.78346749443277,-3.67347210372263
7.975,-24.7480374456379,-3.78527853400666,-3.66063372762812
8,-24.8110309607995,-3.7880981898159,-3.65457684328364
8.025,-24.8235769668203,-3.79259468368129,-3.65115668916652
8.05,-24.7753457942327,-3.79806042731651,-3.64889683853
8.075,-24.6627142288196,-3.8040617837642,-3.64736324286597
8.1,-24.4883873940068,-3.81036255206932,-3.64642367573642
8.125,-24.2592969504708,-3.81681970939663,-3.64604235525711
8.15,-23.9847410083096,-3.82333345249518,-3.64621842864586
8.175,-23.6748684595367,-3.82982481025279,-3.64696480263163
8.2,-23.3395655574245,-3.83622551310573,-3.64829968254452
8.225,-22.9877559097837,-3.84247347847626,-3.65024255728534
8.25,-22.6270566935401,-3.84851102898134,-3.65281187036678
8.275,-22.2636950531685,-3.85428452078108,-3.65602337226751
8.3,-21.9025861599205,-3.85974472263775,-3.65988877596891
8.325,-21.5474935724633,-3.86484757970981,-3.66441458421327
8.35,-21.2012177216728,-3.86955513211396,-3.66960106325366
8.375,-20.8657805415007,-3.87383642356673,-3.67544138722832
8.4,-20.5425902779507,-3.87766827506431,-3.68192099651156
8.425,-20.2325806464716,-3.88103582718853,-3.68901721662541
8.45,-19.9363241526184,-3.88393278088625,-3.69669917791722
8.475,-19.6541221275408,-3.88636129771701,-3.7049280585315
8.5,-19.3860750398513,-3.88833154981876,-3.71365765366381
8.525,-19.1321367156872,-3.88986094244052,-3.72283524935309
8.55,-18.8921557715894,-3.8909730580233,-3.73240275765298
8.575,-18.6659070431762,-3.89169639340113,-3.74229805096195
8.6,-18.4531152918141,-3.89206297435847,-3.75245642117662
8.625,-18.2534729976558,-3.89210693745265,-3.76281208304775
8.65,-18.0666536645843,-3.89186316200535,-3.77329964544143
8.675,-17.8923217396121,-3.8913660250723,-3.78385548162763
8.7,-17.7301400037159,-3.89064833395175,-3.7944189449227
8.725,-17.5797751055364,-3.88974047065066,-3.80493339387368
8.75,-17.4409017692072,-3.88866976376374,-3.81534700948306
8.775,-17.3132061133623,-3.88746008531095,-3.82561340656768
8.8,-17.1963884684694,-3.8861316563499,-3.83569205995973
8.825,-17.0901660843378,-3.88470103677232,-3.84554858473329
8.85,-16.9942761728714,-3.88318126982568,-3.85515493456106
8.875,-16.9084799197489,-3.88158215641177,-3.86448961470888
8.9,-16.8325684489496,-3.87991064579511,-3.87353807008649
8.925,-16.7663724933564,-3.87817135965735,-3.88229353465956
8.95,-16.7097790801688,-3.87636734312056,-3.89075890162576
8.975,-16.6627619460055,-3.87450133036372,-3.89895080653896
9,-16.6254400724709,-3.87257838663802,-3.90690864356931
9.025,-16.5981968044004,-3.870612653437,-3.91471511930629
9.05,-16.5819341427126,-3.8686478414324,-3.92254489811771
9.075,-16.5786122018654,-3.86683046735527,-3.93077920473267
9.1,-16.5920472051527,-3.86571088840594,-3.94020293971636
9.125,-16.6249878591812,-3.86740071686013,-3.95139071289023
9.15,-16.6553708684343,-3.87584214387564,-3.95889874977182
9.175,-16.6589514850044,-3.88377381725184,-3.9607673582806
9.2,-16.6389397647279,-3.87710359083218,-3.96786942593996
9.225,-16.6280512551372,-3.86605258877623,-3.97217695376848
9.25,-16.6463092089575,-3.85886454028233,-3.97486429035434
9.275,-16.682748798759,-3.85398112209685,-3.9777396612128
9.3,-16.7307870076071,-3.85009694670069,-3.98089908111277
9.325,-16.7878439008314,-3.8466684911998,-3.98419320605147
9.35,-16.8528765253577,-3.84346753843664,-3.98750533243959
9.375,-16.925433251335,-3.84039155192261,-3.99076295813671
9.4,-17.0053160913694,-3.83739297136821,-3.99392204917359
9.425,-17.0924516310576,-3.83445098934479,-3.99695502303554
9.45,-17.1868377225029,-3.83155920702322,-3.99984352960657
9.475,-17.2885200854959,-3.82871974547,-4.00257427416692
9.5,-17.3975816792532,-3.82594020176057,-4.00513659457351
9.525,-17.514137906182,-3.82323194645904,-4.00752105160498
9.55,-17.6383346234812,-3.82060908598463,-4.00971862542216
9.575,-17.7703475544834,-3.81808776576524,-4.01172029184209
9.6,-17.9103823924378,-3.81568564758304,-4.01351685227934
9.625,-18.0586752151704,-3.81342147404738,-4.01509894160687
9.65,-18.2154929746281,-3.81131467153971,-4.01645716845353
9.675,-18.3811339008454,-3.80938496648401,-4.01758235593803
9.7,-18.5559276655386,-3.80765200304686,-4.01846585908431
9.725,-18.7402351638155,-3.80613495879454,-4.0190999381535
9.75,-18.934447731406,-3.80485216198039,-4.01947816741397
9.775,-19.1389855712184,-3.80382071753028,-4.01959585962195
9.8,-19.3542950918022,-3.80305615255484,-4.01945048522467
9.825,-19.580844760998,-3.80257209437639,-4.01904206476334
9.85,-19.8191189308735,-3.80237999351789,-4.01837351502235
9.875,-20.0696089030571,-3.80248890495281,-4.01745092937196
9.9,-20.3328002380894,-3.80290533829512,-4.01628377656507
9.925,-20.6091549606079,-3.803633184701,-4.01488500613988
9.95,-20.8990868308269,-3.80467372546423,-4.01327105264258
9.975,-21.2029272375995,-3.80602572196786,-4.01146173719412
10,-21.520878455296,-3.80768558351586,-4.00948006938884
10.025,-21.8529500037116,-3.809647604984,-4.00735195829071
10.05,-22.198872678106,-3.81190426317158,-4.00510584535785
10.075,-22.5579835799052,-3.81444655846362,-4.00277227565605
10.1,-22.9290744990528,-3.81726438813552,-4.00038342512297
10.125,-23.3101959521698,-3.82034693768456,-3.99797260297296
10.15,-23.698411340552,-3.82368307986549,-3.99557374713474
10.175,-24.089502322632,-3.82726177576398,-3.99322092893275
10.2,-24.4776409689533,-3.83107248049345,-3.99094788035843
10.225,-24.855070778821,-3.83510556821251,-3.98878755425135
10.25,-25.2118799453926,-3.83935281137231,-3.98677172444988
10.275,-25.5360024342403,-3.84380798436297,-3.98493062914347
10.3,-25.813625592333,-3.84846772330098,-3.98329266063751
10.325,-26.0301735246523,-3.85333289645892,-3.98188410693418
10.35,-26.1719154937517,-3.85841098852367,-3.98072896852649
10.375,-26.2279926397533,-3.86372053882468,-3.9798489380644
10.4,-26.1923434959007,-3.86929989192378,-3.97926385082024
10.425,-26.0648347054136,-3.87522537974408,-3.97899371147556
10.45,-25.8510321635013,-3.88165072375759,-3.97906648739876
10.475,-25.5603661837466,-3.8888919777579,-3.97954876889553
10.5,-25.2025333357695,-3.89756853589666,-3.98067215315005
10.525,-24.7828098978958,-3.90836123911522,-3.9833075695597
10.55,-24.3128094504358,-3.91849526675294,-3.98949659989695
10.575,-23.8508686740118,-3.92024727881944,-3.99832171085519
10.6,-23.409151026047,-3.91953218271785,-4.00666301473498
10.625,-22.9423378683427,-3.92373991248888,-4.01614031812789
10.65,-22.4461735375936,-3.93389222004513,-4.02187548557916
10.675,-21.987756605522,-3.94417225891182,-4.01724489029048
10.7,-21.5793241409016,-3.95081220751656,-4.01230914153066
10.725,-21.188207323371,-3.95637193807858,-4.01145804984436
10.75,-20.8067142266834,-3.96212339174132,-4.01323505530643
10.775,-20.4364362030354,-3.96824509224743,-4.01643211260253
10.8,-20.0793931933301,-3.97468710257226,-4.02046446174285
10.825,-19.7368359096879,-3.98138258784344,-4.02504861619377
10.85,-19.4093803834314,-3.98828089561344,-4.03003194214617
10.875,-19.0972241655671,-3.99534765642388,-4.03532028166461
10.9,-18.8002977328592,-4.00256078064223,-4.04084678429343
10.925,-18.5183605721046,-4.0099072054624,-4.04655771584404
10.95,-18.2510617915726,-4.01738076509997,-4.05240561404333
10.975,-17.9979788195802,-4.02498087066591,-4.05834583749266
11,-17.7586423876959,-4.03271168694498,-4.06433479978718
11.025,-17.5325527147674,-4.04058158247091,-4.0703291133312
11.05,-17.3191899080712,-4.04860270003002,-4.07628527862651
11.075,-17.1180204883924,-4.0567905417293,-4.08215974489445
11.1,-16.9285012812047,-4.06516349279942,-4.08790925936254
11.125,-16.7500815072399,-4.07374222901133,-4.09349146646244
11.15,-16.582203645784,-4.08254897156478,-4.09886573470768
11.175,-16.4243034877191,-4.09160656914526,-4.10399419255667
11.2,-16.2758096706025,-4.10093740831348,-4.10884294515905
11.225,-16.136142935294,-4.11056217489794,-4.11338342801055
11.25,-16.0047152853967,-4.1204985141466,-4.11759383304577
11.275,-15.880929205877,-4.13075966304677,-4.121460519682
