Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_Y Coax_D_Y))
1,-19.2413213584319,-18.2289958464843
1.5,-19.1404791198541,-15.9052753616092
2,-15.2249871243338,-16.0850089906476
2.5,-10.277650285233,-9.57616891968488
3,-7.73572021663648,-7.52771017246695
3.5,-11.9519341442596,-11.7325400420499
4,-15.5359286932235,-16.2367634932689
4.5,-14.2909793822123,-14.1251756058759
5,-15.5692575150172,-13.3384303275852
5.5,-13.574207219234,-11.9025127008674
6,-21.481185324913,-17.4484211671697
6.5,-19.0219777407473,-22.6709729947066
7,-11.075243545358,-15.7198529532189
7.5,-18.7473181040614,-17.658061945393
8,-9.84297618243269,-10.6494228943228
8.5,-12.2852221747652,-11.7969189400616
9,-13.6579907685489,-13.7497668227585
9.5,-17.5453716446578,-17.4663668324388
10,-19.660479981945,-19.484232629213
10.5,-13.1489847282498,-13.1423252801393
11,-12.0201968311852,-11.9442393435957
11.5,-11.0633152149244,-10.9476158761152
12,-11.0908631519132,-10.9774912473257
12.5,-9.3295523283418,-9.22205206028393
13,-9.26914013844293,-9.14079256203711
13.5,-5.13407212390349,-5.06491352897701
14,-5.21883544832544,-5.14890673442134
14.5,-2.72194920269396,-2.68671212676464
15,-2.0661516089717,-2.0423107026283
