Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_Y Coax_D_Y))
1,-15.5441886058231,-16.084811342212
1.5,-15.6797857002728,-19.2548424284378
2,-19.9898757351098,-16.8229593941774
2.5,-11.1770976914444,-9.73015205646053
3,-6.92979271944694,-7.27520786926643
3.5,-7.04824297941943,-7.23276638733514
4,-10.3562014333224,-9.3332351457689
4.5,-10.0658341550155,-8.51244723452547
5,-3.67836678017117,-4.47628477799765
5.5,-9.4330357186842,-10.4470240663265
6,-5.94235510520721,-6.44179191528356
6.5,-7.62571906688629,-8.47870571069181
7,-5.56640413988722,-5.40926080673263
7.5,-5.65545999611618,-5.72924572035005
8,-5.45896283043798,-5.06171261844498
8.5,-5.71350269435583,-5.96482712112934
9,-10.4687146586653,-10.7389778915779
9.5,-8.80560282450885,-8.99077809116764
10,-7.08732752221645,-7.17071648899056
10.5,-7.4574394654019,-7.65592684819152
11,-7.69106119680653,-7.8063924682181
11.5,-8.65207879110514,-8.82632916473885
12,-8.10651302685556,-8.35944092965754
12.5,-9.07375764868621,-9.34802065030674
13,-7.10658271314494,-7.23690585372683
13.5,-6.1622514531829,-6.21406402294919
14,-5.37214893558663,-5.46892099428013
14.5,-3.99689696869668,-3.82665182937957
15,-6.32170801197657,-6.22363779288938
