Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_Y Coax_D_Y))
1,-20.1358528871095,-23.4333148328407
1.5,-21.278130516629,-25.8973312075348
2,-17.3029461838718,-21.931792423259
2.5,-17.4048344940664,-17.8635395657183
3,-14.5438214458926,-16.3058920445343
3.5,-16.5003199360228,-16.6574524099309
4,-13.9109103051466,-14.8828003994394
4.5,-10.5079438709308,-11.3429776092305
5,-12.4792830965185,-13.2168810470485
5.5,-20.4672584761059,-19.517407810415
6,-15.0731148279302,-12.0987551171459
6.5,-14.5331766042219,-17.1172456642689
7,-20.4634109683471,-16.6996865563243
7.5,-15.3448236255492,-19.580885840362
8,-11.5865035462669,-12.0410330221077
8.5,-11.9462728601929,-11.855377822061
9,-16.438728591401,-16.1022155555517
9.5,-18.221094001423,-17.8589440985518
10,-44.8584161710782,-36.917852284352
10.5,-19.2544469236529,-18.8750078677339
11,-19.7074423233775,-19.0709845775905
11.5,-17.627773456438,-17.0769320148546
12,-19.3155917271705,-18.5576237289582
12.5,-14.8158149118066,-14.3740211939511
13,-16.9001123892465,-16.2685069097626
13.5,-9.42515939624814,-9.23529300703749
14,-10.2453965620291,-9.81245663282715
14.5,-7.17634279784621,-6.92929177103994
15,-4.34080257042857,-4.27697626425902
