Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_Y Coax_D_Y))
1,-21.2432420373356,-19.4217684886194
1.5,-19.6605322546537,-21.6661842596389
2,-14.518212145274,-12.2962171839227
2.5,-17.9826017913643,-27.5434309125377
3,-14.4056027297582,-12.0356087347679
3.5,-12.9702555164634,-14.1060315160911
4,-15.4205833971946,-16.0408439395433
4.5,-17.8285353905771,-27.2918771887282
5,-14.9054472766169,-14.7749069830808
5.5,-21.2668079938139,-18.8343632778359
6,-18.8906488412684,-10.2419568855175
6.5,-16.2108820005267,-22.3349555267829
7,-12.4836636967942,-12.3729558583466
7.5,-22.8154665281936,-20.2375087417034
8,-11.1487763385518,-10.899681707989
8.5,-9.52552125683687,-8.98965519437373
9,-11.4689764735792,-11.5079872532047
9.5,-15.4955675032794,-15.2823012276327
10,-14.0354913999675,-13.916236124903
10.5,-10.1524402946187,-10.1275419933782
11,-9.88865375865485,-9.78509039270332
11.5,-9.61390100736792,-9.49542203153455
12,-10.0289018829181,-9.87805255535108
12.5,-9.19611635177627,-9.02418465306952
13,-8.53875733711861,-8.3752656576705
13.5,-4.87128330474271,-4.79306123154177
14,-4.71667092341697,-4.62091195465376
14.5,-2.86196966475526,-2.84555293469885
15,-2.24073916721694,-2.18049986290104
