Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_Y Coax_D_Y))
1,-22.1711803851363,-20.6423857983707
1.5,-15.6921903383558,-17.8207011170839
2,-33.7770871034141,-26.3952127340242
2.5,-8.97502674395754,-8.02516391952709
3,-12.8122073126727,-11.226838855556
3.5,-9.26777038048199,-10.5970187148166
4,-17.1759302784701,-15.4267845834911
4.5,-15.4779307993917,-14.483985249222
5,-9.85100728941435,-11.9902562826312
5.5,-12.8062053167787,-19.4526562905543
6,-14.0571740657106,-10.9423612029705
6.5,-13.0417772217396,-17.9297529083497
7,-7.6485617605547,-14.3368708499905
7.5,-17.0564002229671,-24.1164965913286
8,-6.37801132694823,-10.6362248174175
8.5,-5.64008495061353,-11.6110286085447
9,-9.96005276257148,-16.4328997761436
9.5,-9.61722525075182,-19.3471026892413
10,-6.72497791926416,-25.6176518437543
10.5,-5.65543400393327,-15.4455492626583
11,-5.06831715694813,-14.1730982094751
11.5,-5.2982097398748,-13.140282867947
12,-4.61290112082129,-12.8900204697833
12.5,-4.47873785291778,-11.3097724355605
13,-3.18404972845805,-11.3401509954992
13.5,-1.90511456063146,-6.6151773331726
14,-1.72943070846041,-6.2702346525683
14.5,-0.976994310318626,-3.25717448334851
15,-1.18643706598436,-2.81240440708628
