Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_Y Coax_D_Y))
1,-20.3823603875149,-20.2476618060403
1.5,-15.7872866516875,-16.0085576990415
2,-29.6899309778068,-27.4269693686821
2.5,-14.449755999645,-15.9597253439163
3,-8.77847907069986,-8.68815747802867
3.5,-11.2445355306579,-11.3401253134088
4,-13.8284617769978,-14.9649446264391
4.5,-15.4084019368103,-16.4326119680609
5,-8.62198062711495,-9.56860189634849
5.5,-13.8441871949709,-22.8071797893092
6,-11.4919997631085,-8.64455984319026
6.5,-14.6327645340199,-12.2737763076403
7,-10.6084570785776,-8.56138279835984
7.5,-15.9581602969426,-13.4031038643148
8,-6.34734310655621,-5.58440139295839
8.5,-5.71949886899731,-5.7637963500104
9,-9.59701054320545,-9.658172295537
9.5,-9.67070115967253,-9.47117318344591
10,-6.67437146331329,-6.57303408926289
10.5,-5.62314255750868,-5.482446042786
11,-5.04017130120195,-4.93485244022305
11.5,-5.29084498851114,-5.13069804961557
12,-4.51314244483274,-4.45661288174662
12.5,-4.51290366117403,-4.32744466688261
13,-3.21733600621606,-3.1482752622865
13.5,-2.04796835481974,-1.9548763479572
14,-1.73699359622876,-1.72088217172771
14.5,-0.934158425012714,-0.898193274833956
15,-1.27254517220559,-1.26168574869569
