Freq[GHz],dB(St(Coax_D_X Coax_D_X)),dB(St(Coax_D_Y Coax_D_Y))
1,-19.3142798904352,-21.1895492176081
1.25,-17.4417721889074,-18.2550894977412
1.5,-26.6034940420389,-22.5262717993886
1.75,-15.3296976309095,-14.5848677410679
2,-20.6184315838928,-22.1411589938676
2.25,-17.3282815192163,-15.3685630843218
2.5,-11.4302129085312,-13.4651713069751
2.75,-19.3267838230787,-24.1359881123285
3,-10.5641771262083,-11.1131443489912
3.25,-12.5914460566132,-10.7912189225757
3.5,-11.4918309867639,-14.1361116397131
3.75,-15.0697652970465,-17.3704127116034
4,-13.5522357222767,-18.009862523699
4.25,-16.3458317125526,-13.5645236690971
4.5,-15.05009796444,-16.8155756417174
4.75,-14.5028434030126,-11.9345067453254
5,-8.31214192135234,-11.5020360365534
5.25,-10.5639541784194,-12.6614641604127
5.5,-25.4246878676447,-16.1742392659148
5.75,-8.63754241351579,-14.2552312017316
6,-10.9083966114233,-13.2987187970415
6.25,-10.3138375893518,-11.8030190462751
6.5,-17.4627110952045,-30.6967697207744
6.75,-17.1386423916381,-13.8632214641872
7,-14.8112820638319,-24.691721726654
7.25,-7.63899464878433,-6.91496349403135
7.5,-16.6753978158897,-16.4886810679517
7.75,-16.923911238309,-12.7245765395117
8,-8.67327462715078,-11.2780569364714
8.25,-23.9091140509834,-24.7245314740955
8.5,-9.14945404846076,-8.3856143315426
8.75,-13.7642644314473,-14.508977857783
9,-13.4323753206782,-13.5363584240538
9.25,-8.91111221048818,-8.76807097944747
9.5,-17.1756973766881,-16.8130473840855
9.75,-8.79088984856008,-8.70304462712835
10,-14.9445706486506,-14.5905009996421
10.25,-9.30016336795742,-9.09062301056694
10.5,-10.6586571840752,-10.615165302089
10.75,-10.3082926292709,-10.0897179360596
11,-10.4279803190818,-10.2742073526621
11.25,-9.96238425329322,-9.72607160448889
11.5,-10.3624288405854,-10.2172602792049
11.75,-10.6173171112834,-10.1908855440136
12,-10.9463906108083,-10.7701696636992
12.25,-9.24902058014136,-9.05826665398989
12.5,-9.77324386030353,-9.61494409545588
12.75,-10.1793262116943,-9.74225991656342
13,-9.37393823240856,-9.29435527687245
13.25,-7.26214903679527,-7.11749392705217
13.5,-5.2188507135195,-5.15708118738539
13.75,-6.53762281653627,-6.37153170420815
14,-5.0640986905333,-4.91798554651861
14.25,-3.99421026547924,-3.93993766490771
14.5,-3.03139201506127,-3.01706748607169
14.75,-1.82302356695217,-1.78596653799596
15,-2.44087993361146,-2.36181466579973
