
Terminating impedances in Ohms.
 No. 1 port: Zc = (200.000,   0.000)
 No. 2 port: Zc = (100.000,   0.000)

dB(Sij) in dB and Ang(Sij) in degree.

                                       

Freq[GHz]    dB[S(1,1)]   dB[S(2,1)]   
4.08         -20.59       -0.3431      
4.1          -20.74       -0.3429      
4.12         -20.89       -0.3429      
4.14         -21.04       -0.3432      
4.16         -21.18       -0.3439      
4.18         -21.33       -0.345       
4.2          -21.48       -0.3466      
4.22         -21.63       -0.3489      
4.24         -21.78       -0.3519      
4.26         -21.93       -0.3561      
4.28         -22.08       -0.3616      
4.3          -22.25       -0.369       
4.32         -22.42       -0.3789      
4.34         -22.61       -0.3923      
4.36         -22.84       -0.4103      
4.38         -23.13       -0.434       
4.4          -23.53       -0.4637      
4.42         -24.1        -0.4968      
4.44         -24.93       -0.5249      
4.46         -26.06       -0.5353      
4.48         -27.37       -0.5213      
4.5          -28.62       -0.49        
4.52         -29.62       -0.4543      
4.54         -30.35       -0.4224      
4.56         -30.92       -0.397       
4.58         -31.43       -0.3775      
4.6          -31.93       -0.3628      
4.62         -32.42       -0.3516      
4.64         -32.88       -0.3431      
4.66         -33.28       -0.3366      
4.68         -33.56       -0.3316      
4.7          -33.67       -0.3276      
4.72         -33.59       -0.3246      
4.74         -33.3        -0.3223      
4.76         -32.84       -0.3206      
4.78         -32.27       -0.3193      
4.8          -31.62       -0.3185      
4.82         -30.95       -0.318       
4.84         -30.28       -0.3178      
4.86         -29.63       -0.3178      
4.88         -29.02       -0.3181      
4.9          -28.44       -0.3185      
4.92         -27.9        -0.3191      
4.94         -27.4        -0.3199      
4.96         -26.94       -0.3208      
4.98         -26.52       -0.3217      
5.           -26.13       -0.3228      
5.02         -25.77       -0.324       
5.04         -25.44       -0.3252      
5.06         -25.14       -0.3265      
5.08         -24.85       -0.3279      
5.1          -24.59       -0.3293      
5.12         -24.35       -0.3309      
5.14         -24.12       -0.3325      
5.16         -23.9        -0.3343      
5.18         -23.69       -0.3362      
5.2          -23.49       -0.3382      
5.22         -23.3        -0.3404      
5.24         -23.11       -0.3429      
5.26         -22.93       -0.3456      
5.28         -22.75       -0.3486      
5.3          -22.57       -0.352       
5.32         -22.39       -0.356       
5.34         -22.22       -0.3607      
5.36         -22.04       -0.3662      
5.38         -21.87       -0.373       
5.4          -21.69       -0.3814      
5.42         -21.5        -0.3923      
5.44         -21.29       -0.4069      
5.46         -21.06       -0.4271      
5.48         -20.77       -0.4564      
5.5          -20.38       -0.5004      
5.52         -19.83       -0.5676      
5.54         -19.09       -0.6633      
5.56         -18.3        -0.7589      
5.58         -17.88       -0.7655      
5.6          4.438        14.87        
5.62         -18.52       -0.5558      
5.64         -18.98       -0.4803      
5.66         -19.37       -0.4341      
5.68         -19.68       -0.4057      
5.7          -19.94       -0.3875      
5.72         -20.18       -0.3753      
5.74         -20.41       -0.3667      
5.76         -20.64       -0.3602      
5.78         -20.88       -0.3551      
5.8          -21.14       -0.3509      
5.82         -21.42       -0.3472      
5.84         -21.72       -0.3439      
5.86         -22.05       -0.3408      
5.88         -22.42       -0.3379      
5.9          -22.82       -0.3351      
5.92         -23.25       -0.3326      
5.94         -23.73       -0.3302      
5.96         -24.25       -0.3279      
5.98         -24.82       -0.3258      
6.           -25.44       -0.3238      
6.02         -26.11       -0.322       
6.04         -26.85       -0.3203      
6.06         -27.64       -0.3189      
6.08         -28.49       -0.3176      
6.1          -29.41       -0.3166      
6.12         -30.36       -0.3158      
6.14         -31.33       -0.3151      
6.16         -32.26       -0.3148      
6.18         -33.05       -0.3146      
6.2          -33.58       -0.3147      
6.22         -33.77       -0.315       
6.24         -33.56       -0.3155      
6.26         -33.05       -0.3162      
6.28         -32.34       -0.3172      
6.3          -31.53       -0.3185      
6.32         -30.71       -0.3199      
6.34         -29.9        -0.3217      
6.36         -29.14       -0.3237      
6.38         -28.43       -0.326       
6.4          -27.77       -0.3287      
6.42         -27.14       -0.3318      
6.44         -26.56       -0.3355      
6.46         -26.         -0.3399      
6.48         -25.46       -0.3454      
6.5          -24.94       -0.3525      
6.52         -24.41       -0.3619      
6.54         -23.87       -0.3754      
6.56         -23.28       -0.3959      
6.58         -22.63       -0.4298      
6.6          -21.9        -0.4906      
6.62         -21.14       -0.6069      
6.64         -20.83       -0.7961      
6.66         -22.5        -0.845       
6.68         -25.7        -0.6354      
6.7          -26.9        -0.4818      
6.72         -26.45       -0.4101      
6.74         -25.73       -0.3764      
6.76         -25.1        -0.3594      
6.78         -24.58       -0.3504      
6.8          -24.16       -0.3455      
6.82         -23.81       -0.3428      
6.84         -23.52       -0.3414      
6.86         -23.27       -0.3407      
6.88         -23.07       -0.3406      
6.9          -22.9        -0.3407      
6.92         -22.76       -0.3409      
6.94         -22.66       -0.3412      
6.96         -22.59       -0.3415      
6.98         -22.55       -0.3417      
7.           -22.53       -0.3419      
7.02         -22.55       -0.3419      
7.04         -22.6        -0.3418      
7.06         -22.68       -0.3416      
7.08         -22.8        -0.3413      
7.1          -22.95       -0.3408      
7.12         -23.13       -0.3402      
7.14         -23.34       -0.3395      
7.16         -23.6        -0.3386      
7.18         -23.89       -0.3377      
7.2          -24.23       -0.3367      
7.22         -24.6        -0.3357      
7.24         -25.02       -0.3346      
7.26         -25.48       -0.3335      
7.28         -26.         -0.3325      
7.3          -26.55       -0.3316      
7.32         -27.15       -0.3307      
7.34         -27.8        -0.33        
7.36         -28.48       -0.3295      
7.38         -29.18       -0.3291      
7.4          -29.89       -0.3289      
7.42         -30.57       -0.329       
7.44         -31.19       -0.3294      
7.46         -31.7        -0.3301      
7.48         -32.06       -0.3311      
7.5          -32.24       -0.3326      
7.52         -32.25       -0.3346      
7.54         -32.13       -0.3372      
7.56         -31.94       -0.3408      
7.58         -31.73       -0.3456      
7.6          -31.6        -0.3524      
7.62         -31.62       -0.3626      
7.64         -31.95       -0.3793      
7.66         -32.92       -0.4103      
7.68         -35.38       -0.4811      
7.7          -34.63       -0.7047      
7.72         -22.37       -1.482       
7.74         -20.33       -0.8341      
7.76         -21.88       -0.4632      
7.78         -22.82       -0.3794      
7.8          -23.36       -0.3519      
7.82         -23.71       -0.3406      
7.84         -23.96       -0.3351      
7.86         -24.15       -0.3323      
7.88         -24.3        -0.3308      
7.9          -24.44       -0.3299      
7.92         -24.56       -0.3293      
7.94         -24.66       -0.329       
7.96         -24.75       -0.3288      
7.98         -24.82       -0.3288      
8.           -24.86       -0.3288      
8.02         -24.87       -0.329       
8.04         -24.86       -0.3293      
8.06         -24.81       -0.3297      
8.08         -24.72       -0.3303      
8.1          -24.61       -0.3311      
8.12         -24.47       -0.332       
8.14         -24.31       -0.333       
8.16         -24.13       -0.334       
8.18         -23.95       -0.3352      
8.2          -23.76       -0.3363      
8.22         -23.57       -0.3375      
8.24         -23.39       -0.3387      
8.26         -23.23       -0.3399      
8.28         -23.08       -0.341       
8.3          -22.95       -0.342       
8.32         -22.84       -0.343       
8.34         -22.77       -0.3438      
8.36         -22.72       -0.3444      
8.38         -22.71       -0.3449      
8.4          -22.73       -0.3453      
8.42         -22.8        -0.3454      
8.44         -22.9        -0.3453      
8.46         -23.06       -0.345       
8.48         -23.25       -0.3445      
8.5          -23.5        -0.3438      
8.52         -23.81       -0.3429      
8.54         -24.18       -0.3419      
8.56         -24.61       -0.3409      
8.58         -25.11       -0.3398      
8.6          -25.69       -0.3387      
8.62         -26.35       -0.3379      
8.64         -27.09       -0.3374      
8.66         -27.89       -0.3376      
8.68         -28.72       -0.339       
8.7          -29.42       -0.3426      
