X:
35	.05
82	1.25
129	2.45
176	3.65
222	4.85
271	6.05
316	7.25
363	8.45
410	9.65
457	10.85
504	12.05
Y:
113	60
156	50
198	40
241	30
282	20
326	10
368	0
Data:
35	302
36	324
37	336
38	358
39	367
40	349
41	307
42	238
43	193
44	176
45	158
46	148
47	144
50	144
53	142
55	139
62	139
68	142
70	141
71	141
72	142
74	141
76	141
77	142
78	142
80	141
83	141
86	140
97	140
104	141
111	143
115	146
121	150
123	153
124	154
125	154
128	152
129	151
133	151
134	152
135	153
137	152
139	150
141	147
143	145
144	145
145	146
148	145
150	146
151	145
157	145
162	141
166	140
170	140
172	141
173	140
174	140
176	141
178	140
184	140
187	142
190	145
193	148
196	154
198	154
200	159
204	161
206	164
211	164
212	163
218	163
223	159
228	156
230	155
232	155
235	153
236	154
239	152
241	153
244	153
248	151
252	147
255	146
263	146
264	145
266	145
267	146
280	146
284	148
288	148
289	149
294	149
295	150
297	149
301	149
303	150
304	149
314	149
315	150
316	151
317	150
320	149
321	150
323	149
324	148
328	146
330	147
335	144
339	142
341	142
343	143
344	142
347	142
348	141
352	141
353	140
355	140
356	141
357	141
358	140
364	140
366	142
369	142
372	144
375	144
376	143
382	143
386	145
388	144
389	145
393	146
395	146
400	150
408	157
411	164
414	172
416	176
417	176
419	172
422	169
425	169
427	168
429	166
431	163
434	163
436	167
438	170
443	170
446	166
448	165
450	167
453	172
458	179
460	185
464	204
465	212
468	223
470	234
472	251
474	262
477	260
478	260
481	267
483	269
485	266
487	264
490	267
493	273
494	273
496	277
498	279
501	287
503	288
