F[GHz],dB(S(Port1Port1)),dB(S(Port1Port2)),
0,-15.7643014438755,-1.54392333843056
0.001,-15.7643934729896,-1.54392324543994
0.002,-15.7646695706535,-1.54392296664776
0.003,-15.7651297678407,-1.54392250259478
0.004,-15.7657741161682,-1.54392185418153
0.005,-15.7666026879023,-1.5439210226687
0.006,-15.7676155759559,-1.5439200096771
0.007,-15.7688128938863,-1.54391881718702
0.008,-15.770194775902,-1.54391744753903
0.009,-15.7717613768533,-1.54391590343265
0.01,-15.7735128722397,-1.54391418792683
0.011,-15.7754494582035,-1.54391230443916
0.012,-15.7775713515351,-1.54391025674617
0.013,-15.7798787896679,-1.54390804898211
0.014,-15.782372030681,-1.54390568563937
0.015,-15.7850513532997,-1.54390317156763
0.016,-15.7879170568923,-1.54390051197336
0.017,-15.790969461475,-1.54389771241957
0.018,-15.794208907708,-1.54389477882514
0.019,-15.7976357568953,-1.54389171746364
0.02,-15.8012503909949,-1.54388853496433
0.021,-15.8050532126058,-1.5438852383095
0.022,-15.809044644981,-1.54388183483516
0.023,-15.8132251320221,-1.54387833222961
0.024,-15.8175951382842,-1.54387473853281
0.025,-15.822155148981,-1.54387106213621
0.026,-15.8269056699822,-1.54386731178055
0.027,-15.8318472278197,-1.5438634965559
0.028,-15.836980369696,-1.54385962590101
0.029,-15.8423056634799,-1.54385570960121
0.03,-15.8478236977228,-1.54385175778865
0.031,-15.8535350816517,-1.54384778093946
0.032,-15.8594404451881,-1.54384378987443
0.033,-15.865540438954,-1.54383979575751
0.034,-15.8718357342684,-1.54383581009273
0.035,-15.8783270231768,-1.54383184472593
0.036,-15.8850150184445,-1.54382791184085
0.037,-15.8919004535766,-1.54382402395876
0.038,-15.8989840828292,-1.5438201939372
0.039,-15.9062666812282,-1.54381643496868
0.04,-15.9137490445746,-1.54381276057804
0.041,-15.9214319894697,-1.54380918462185
0.042,-15.9293163533314,-1.54380572128648
0.043,-15.9374029944141,-1.54380238508661
0.044,-15.9456927918284,-1.54379919086268
0.045,-15.9541866455652,-1.54379615377994
0.046,-15.9628854765231,-1.5437932893264
0.047,-15.9717902265318,-1.54379061331039
0.048,-15.9809018583791,-1.54378814185842
0.049,-15.9902213558538,-1.54378589141525
0.05,-15.9997497237602,-1.54378387873828
0.051,-16.009487987966,-1.54378212089768
0.052,-16.0194371954352,-1.54378063527355
0.053,-16.0295984142743,-1.5437794395543
0.054,-16.0399727337636,-1.54377855173259
0.055,-16.0505612644093,-1.54377799010396
0.056,-16.0613651379919,-1.5437777732645
0.057,-16.0723855076159,-1.54377792010797
0.058,-16.0836235477584,-1.54377844982234
0.059,-16.0950804543329,-1.54377938188826
0.06,-16.1067574447443,-1.54378073607528
0.061,-16.1186557579533,-1.54378253243962
0.062,-16.1307766545459,-1.54378479132112
0.063,-16.1431214167926,-1.54378753333866
0.064,-16.1556913487379,-1.54379077938985
0.065,-16.168487776262,-1.54379455064508
0.066,-16.1815120471735,-1.54379886854589
0.067,-16.1947655312884,-1.54380375480096
0.068,-16.2082496205212,-1.54380923138272
0.069,-16.2219657289737,-1.54381532052304
0.07,-16.2359152930451,-1.54382204471163
0.071,-16.2500997715197,-1.54382942668985
0.072,-16.2645206456845,-1.54383748944873
0.073,-16.2791794194382,-1.54384625622439
0.074,-16.2940776194025,-1.54385575049304
0.075,-16.3092167950567,-1.54386599596932
0.076,-16.3245985188506,-1.54387701659953
0.077,-16.3402243863488,-1.54388883655908
0.078,-16.3560960163648,-1.54390148024785
0.079,-16.3722150511008,-1.54391497228454
0.08,-16.3885831563075,-1.54392933750395
0.081,-16.405202021432,-1.54394460095125
0.082,-16.4220733597822,-1.54396078787693
0.083,-16.4391989087014,-1.54397792373332
0.084,-16.4565804297356,-1.54399603416839
0.085,-16.4742197088197,-1.54401514502106
0.086,-16.4921185564705,-1.54403528231659
0.087,-16.510278807977,-1.54405647226077
0.088,-16.5287023236083,-1.54407874123483
0.089,-16.5473909888302,-1.54410211579086
0.09,-16.566346714508,-1.54412662264361
0.091,-16.5855714371555,-1.54415228866845
0.092,-16.6050671191601,-1.5441791408939
0.093,-16.6248357490251,-1.54420720649511
0.094,-16.6448793416282,-1.54423651278917
0.095,-16.6651999384829,-1.54426708722905
0.096,-16.6857996080082,-1.54429895739668
0.097,-16.7066804458124,-1.54433215099791
0.098,-16.7278445749775,-1.54436669585463
0.099,-16.7492941463678,-1.54440261989975
0.1,-16.7710313389388,-1.54443995117073
0.101,-16.793058360056,-1.54447871780201
0.102,-16.8153774458275,-1.54451894801847
0.103,-16.8379908614556,-1.54456067013036
0.104,-16.8609009015755,-1.54460391252306
0.105,-16.8841098906433,-1.54464870365423
0.106,-16.907620183297,-1.54469507204309
0.107,-16.9314341647573,-1.54474304626513
0.108,-16.9555542512302,-1.54479265494469
0.109,-16.9799828903249,-1.54484392674747
0.11,-17.0047225614809,-1.54489689037231
0.111,-17.0297757764161,-1.54495157454444
0.112,-17.0551450795907,-1.54500800800849
0.113,-17.0808330486681,-1.54506621951886
0.114,-17.1068422950178,-1.54512623783356
0.115,-17.1331754642098,-1.54518809170543
0.116,-17.1598352365404,-1.54525180987435
0.117,-17.1868243275676,-1.5453174210594
0.118,-17.2141454886636,-1.5453849539501
0.119,-17.2418015075865,-1.54545443719863
0.12,-17.2697952090708,-1.54552589941141
0.121,-17.298129455432,-1.54559936914015
0.122,-17.3268071471943,-1.54567487487379
0.123,-17.3558312237399,-1.54575244503057
0.124,-17.3852046639669,-1.54583210794753
0.125,-17.4149304869838,-1.54591389187364
