Trace
Swept SA
A.16.17,N9010A
1468500000,-91.0941186387662
1474200000,-89.222359197442
1479900000,-83.3567303279712
1485600000,-95.8702956743526
1491300000,-95.1393624649645
1497000000,-97.0113450696091
1502700000,-59.9800563718379
1508400000,-87.7705342842132
1514100000,-97.6400988938159
1519800000,-97.3745585828656
1525500000,-94.0623785688132
1531200000,-88.1449632756527
1536900000,-96.2275337953367
1542600000,-86.9433470460651
1548300000,-84.5590625451504
1554000000,-97.2213850849469
1559700000,-78.5212020874023
1565400000,-97.4241475311709
1571100000,-97.4523376753419
1576800000,-96.9767691180151
1582500000,-92.9434838572487
1588200000,-94.2675944495923
1593900000,-96.901937639881
1599600000,-88.3809597783512
1605300000,-97.8948445737534
1611000000,-82.8265059317378
1616700000,-94.8155662654983
1622400000,-88.5646855302079
1628100000,-93.7887769161332
1633800000,-97.0430203900303
1639500000,-91.7722040588074
1645200000,-97.1102767502147
1650900000,-93.5745425712282
1656600000,-97.1827086813168
1662300000,-97.7271730379983
1668000000,-97.3685861825831
1673700000,-91.6197831568604
1679400000,-83.7174199937509
1685100000,-90.8078952633221
1690800000,-97.1520479251675
1696500000,-97.1956209020002
1702200000,-92.6115104560838
1707900000,-98.3354325920001
1713600000,-98.2037674842275
1719300000,-87.8864313547723
1725000000,-97.6961163856991
1730700000,-92.1746834796287
1736400000,-97.782928402534
1742100000,-98.1244927686946
1747800000,-91.8684817275908
1753500000,-98.4729062383407
1759200000,-90.5067490871194
1764900000,-97.919527849871
1770600000,-97.9675639924642
1776300000,-94.7346756808272
1782000000,-88.8330569851342
1787700000,-98.307760433807
1793400000,-98.8032963110569
1799100000,-91.9305150801809
1804800000,-98.2129014028117
1810500000,-86.5409036011872
1816200000,-98.3037898603299
1821900000,-97.6973611184791
1827600000,-97.920071000656
1833300000,-98.6151721999838
1839000000,-96.2091737087843
1844700000,-97.1319760547858
1850400000,-89.9716673661309
1856100000,-97.7583014724056
1861800000,-97.0787129452506
1867500000,-96.8096831619021
1873200000,-86.5604092967691
1878900000,-95.660792049297
1884600000,-97.9133550016176
1890300000,-95.2475782119671
1896000000,-96.9767899943501
1901700000,-97.5674271174436
1907400000,-97.3930254318337
1913100000,-97.0398333861567
1918800000,-92.293852035171
1924500000,-94.4485300742609
1930200000,-97.5187213809559
1935900000,-89.4425847259669
1941600000,-97.2100179804332
1947300000,-93.3879054744575
1953000000,-97.719954604864
1958700000,-97.5816801338645
1964400000,-97.7572376711667
1970100000,-97.1246147572442
1975800000,-94.3425858829927
1981500000,-94.9170626180692
1987200000,-97.6868320064077
1992900000,-97.7399254910622
1998600000,-85.1470236641826
2004300000,-98.2906030518856
2010000000,-97.2397356552888
2015700000,-98.3775155945617
