Trace
Swept SA
A.16.17,N9010A
5743500000,-98.8771205754663
5749200000,-90.4963550094574
5754900000,-99.6428399457167
5760600000,-99.9411466204134
5766300000,-98.6448204903629
5772000000,-97.8590743145099
5777700000,-96.1731934414373
5783400000,-81.3644749820499
5789100000,-97.6948450606374
5794800000,-99.9731395606154
5800500000,-99.8515963031527
5806200000,-103.0722109207
5811900000,-97.9158265077381
5817600000,-104.286514498036
5823300000,-103.079422060822
5829000000,-103.16473972996
5834700000,-102.960064600881
5840400000,-103.183706497404
5846100000,-101.982717312915
5851800000,-99.0287151434818
5857500000,-97.4009219890116
5863200000,-99.4169330887125
5868900000,-102.31819915192
5874600000,-101.460301519592
5880300000,-98.7773922717165
5886000000,-98.2001829913804
5891700000,-100.299052864375
5897400000,-101.035596649297
5903100000,-101.398408697657
5908800000,-102.14293878537
5914500000,-101.559647367831
5920200000,-95.8212127477028
5925900000,-95.7474725594241
5931600000,-100.131884553081
5937300000,-86.8347533737115
5943000000,-101.788466019891
5948700000,-100.949844194597
5954400000,-98.5678675824531
5960100000,-100.191648227846
5965800000,-98.985765795451
5971500000,-98.667531799089
5977200000,-98.6231270156777
5982900000,-98.9067630353812
5988600000,-97.159320343972
5994300000,-98.3851624693904
6000000000,-61.6120248843115
