Trace
Swept SA
A.16.17,N9010A
1468500000,-67.2027956757235
1474200000,-69.1769320348916
1479900000,-67.4400616294155
1485600000,-69.9454695445167
1491300000,-62.309562340065
1497000000,-69.099517575739
1502700000,-54.0717243643954
1508400000,-65.9389925095982
1514100000,-70.3209582245705
1519800000,-69.1864835518611
1525500000,-69.7580342742008
1531200000,-69.1098958347402
1536900000,-70.7788854469445
1542600000,-68.3934709339794
1548300000,-64.7512999520662
1554000000,-70.597679079999
1559700000,-64.3040599933841
1565400000,-65.7113531522705
1571100000,-63.9005730097658
1576800000,-73.0245615917117
1582500000,-68.7439489130084
1588200000,-65.6136791241716
1593900000,-65.3135057925219
1599600000,-68.0986989479947
1605300000,-66.3075427643392
1611000000,-65.5389037737644
1616700000,-64.464454342567
1622400000,-66.9584066453937
1628100000,-62.8515918397441
1633800000,-63.812784493248
1639500000,-66.3183368269411
1645200000,-67.7759391310129
1650900000,-66.0039017892086
1656600000,-67.347610354876
1662300000,-69.0705783035515
1668000000,-68.9721084611857
1673700000,-73.7189073129969
1679400000,-70.7793660294565
1685100000,-65.7789100827331
1690800000,-70.9665487842722
1696500000,-69.2844711475531
1702200000,-71.1558955983044
1707900000,-72.1356528311348
1713600000,-72.9648557601831
1719300000,-63.1780390496383
1725000000,-74.3834549852638
1730700000,-72.1735891704543
1736400000,-72.58267014659
1742100000,-76.75648696679
1747800000,-66.9444941049846
1753500000,-73.453338230284
1759200000,-72.0079029806906
1764900000,-69.9369507458023
1770600000,-73.2695771827936
1776300000,-75.9721690117559
1782000000,-73.3430291069659
1787700000,-74.5288256607911
1793400000,-76.6900665480421
1799100000,-74.3762025869782
1804800000,-72.8748940884993
1810500000,-68.2180208764255
1816200000,-71.2007264322799
1821900000,-72.1430475219034
1827600000,-76.8657646166177
1833300000,-80.7144195372603
1839000000,-74.6567072053318
1844700000,-74.0618744516374
1850400000,-67.9196562716399
1856100000,-72.9730175713745
1861800000,-67.1727486604205
1867500000,-75.255631984511
1873200000,-62.1381019143731
1878900000,-66.532952095331
1884600000,-78.0696690839251
1890300000,-70.8735296258763
1896000000,-77.5146216750928
1901700000,-71.4485066200684
1907400000,-79.2827219235042
1913100000,-79.5624707260137
1918800000,-65.6135039158222
1924500000,-79.9199813297813
1930200000,-70.7948538425224
1935900000,-71.1551415174988
1941600000,-77.5066690246872
1947300000,-75.8184570602753
1953000000,-77.5158096054913
1958700000,-75.9093153829024
1964400000,-80.0210168710165
1970100000,-78.9716010938505
1975800000,-80.6841826094037
1981500000,-75.1093541335379
1987200000,-78.1147040453858
1992900000,-77.3690946229743
1998600000,-53.5266230411926
2004300000,-83.9811706458664
2010000000,-80.0608066566229
2015700000,-79.6929608901351
2021400000,-82.1614424378687
2027100000,-68.5247782376706
2032800000,-69.8711159350914
2038500000,-79.2196193748991
2044200000,-79.1023190220218
2049900000,-75.4435546873788
2055600000,-83.158854658212
2061300000,-58.6806924903472
