Freq,Trace1,Trace2,Trace3,Trace4
100000000,-78.2902905039049,0,0,0
114875000,-78.0142794980345,0,0,0
129750000,-77.9898815744471,0,0,0
144625000,-78.1725496203837,0,0,0
159500000,-77.7232614303812,0,0,0
174375000,-77.0103703996055,0,0,0
189250000,-77.0696239585512,0,0,0
204125000,-76.7585661310706,0,0,0
219000000,-76.1557281583587,0,0,0
233875000,-75.6895337101392,0,0,0
248750000,-74.5372526517491,0,0,0
263625000,-73.763740042135,0,0,0
278500000,-72.8647107969781,0,0,0
293375000,-72.3266796319571,0,0,0
308250000,-71.2737391673943,0,0,0
323125000,-69.2596422607385,0,0,0
338000000,-67.3338914711943,0,0,0
352875000,-68.7013711119147,0,0,0
367750000,-68.2417940630339,0,0,0
382625000,-66.354475657106,0,0,0
397500000,-65.179809033804,0,0,0
412375000,-62.4807844419942,0,0,0
427250000,-59.1577435017176,0,0,0
442125000,-52.7819713150439,0,0,0
457000000,-46.9182302987145,0,0,0
471875000,-47.4554823878307,0,0,0
486750000,-54.285384500428,0,0,0
501625000,-56.2685872532898,0,0,0
516500000,-56.3861006220225,0,0,0
531375000,-57.6693227769446,0,0,0
546250000,-57.7863193631721,0,0,0
561125000,-48.9041167556578,0,0,0
576000000,-48.1178653913323,0,0,0
590875000,-48.264391967406,0,0,0
605750000,-50.2521601595349,0,0,0
620625000,-48.8065323619864,0,0,0
635500000,-46.6334482813943,0,0,0
650375000,-44.6790191842118,0,0,0
665250000,-35.9405610996433,0,0,0
680125000,-31.0236517620548,0,0,0
695000000,-39.6933555763472,0,0,0
709875000,-42.9792018989449,0,0,0
724750000,-43.8923103471415,0,0,0
739625000,-40.2703812181371,0,0,0
754500000,-30.0053585220317,0,0,0
769375000,-24.8367676569823,0,0,0
784250000,-37.0873658214025,0,0,0
799125000,-38.2204246198586,0,0,0
814000000,-33.6578142857644,0,0,0
828875000,-29.5614700709453,0,0,0
843750000,-30.2639109739746,0,0,0
858625000,-31.9737154608875,0,0,0
873500000,-31.8431961728586,0,0,0
888375000,-28.8600891877256,0,0,0
903250000,-30.3116967024173,0,0,0
