IN,Att,FF,PS
-26.86,30,-25.40,-18.92
-23.86,27,-25.16,-18.49
-20.86,24,-24.62,-17.83
-17.86,21,-23.79,-16.75
-14.86,18,-22.41,-15.11
-11.86,15,-20.30,-12.84
-8.86,12,-18.17,-10.45
-5.86,9,-15.36,-7.53
-2.86,6,-12.62,-4.78
0.14,3,-9.99,-2.25
3.14,0,-8.43,-0.38
