629172.91,4519437.36,1018.84
629880.10,4519272.52,1019.37
629053.88,4519418.71,1019.88
629055.12,4519419.48,1019.93
629055.84,4519418.61,1019.89
629054.94,4519417.78,1019.88
629020.52,4519398.11,1019.67
629019.75,4519397.62,1019.75
629019.47,4519398.23,1019.80
629020.20,4519398.55,1019.78
628972.05,4519368.87,1019.84
628971.00,4519368.30,1019.91
628970.47,4519369.24,1019.87
628971.29,4519369.79,1019.83
629305.49,4519252.85,1020.66
629305.49,4519252.82,1020.68
629305.35,4519252.91,1020.68
629097.52,4519656.48,1018.62
629097.51,4519656.67,1018.74
629298.39,4519655.70,1019.42
629298.17,4519655.81,1018.46
629299.65,4520051.96,1016.04
629264.06,4519876.54,1017.77
629264.06,4519876.54,1017.77
629264.06,4519876.54,1017.77
629264.06,4519876.54,1017.77
629264.06,4519876.54,1017.77
629264.06,4519876.54,1017.77
629264.06,4519876.54,1017.77
629264.06,4519876.54,1017.77
629264.06,4519876.54,1017.78
629264.06,4519876.54,1017.78
629264.06,4519876.54,1017.78
629264.06,4519876.54,1017.78
629264.06,4519876.54,1017.78
629264.06,4519876.54,1017.78
629264.06,4519876.54,1017.78
629264.06,4519876.54,1017.78
629264.06,4519876.54,1017.79
629264.06,4519876.54,1017.79
629043.51,4519421.79,1019.39
629094.99,4519482.78,1020.27
629095.49,4519476.41,1020.26
629095.22,4519470.40,1020.27
629094.94,4519464.68,1020.30
629094.40,4519459.65,1020.33
629093.45,4519454.46,1020.36
629092.93,4519446.91,1020.51
629093.37,4519441.29,1020.55
629095.82,4519436.05,1020.55
629102.61,4519433.61,1020.56
629116.46,4519384.73,1020.06
629109.35,4519384.60,1020.06
629098.03,4519384.29,1020.06
629090.51,4519384.66,1020.03
629083.37,4519384.64,1019.99
629076.52,4519384.44,1019.97
629069.56,4519384.13,1019.96
629062.66,4519383.94,1019.94
629055.55,4519383.50,1019.90
629049.62,4519383.38,1019.87
629042.27,4519383.41,1019.81
629036.59,4519382.98,1019.79
629030.75,4519382.35,1019.80
629024.88,4519381.81,1019.81
629019.49,4519381.36,1019.83
629014.35,4519381.06,1019.83
629007.24,4519380.73,1019.79
629002.35,4519383.71,1019.78
629002.61,4519388.99,1019.84
629007.94,4519391.72,1019.88
629013.04,4519391.99,1019.93
629018.70,4519391.75,1019.98
629024.77,4519392.19,1020.00
629030.85,4519391.99,1020.04
629039.86,4519392.37,1020.01
629046.16,4519392.57,1019.96
629052.53,4519392.77,1019.90
629058.80,4519393.02,1019.88
629064.65,4519393.33,1019.85
629070.33,4519393.21,1019.82
629075.48,4519393.28,1019.84
629080.71,4519393.47,1019.90
629087.57,4519393.47,1019.93
629094.40,4519393.71,1019.96
629101.16,4519393.94,1019.99
