Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
1.49400,1,0.0412,0.517,0.393,5.495,5.559,0.9885,0.01038,257.97,67.03,0.5796239999999999,0.7361224799999999,3.09,3.544908,3.213977,2.352479,2.113472,92.18,83.93,8709.26,7929.79,44.39,39.60
1.49450,1,0.0412,0.517,0.393,5.495,5.559,0.9885,0.01038,257.97,67.03,0.579622,0.73611994,3.09,3.510818,3.178862,2.372359,2.127827,90.89,82.59,8587.51,7803.27,43.64,38.83
1.49500,1,0.0413,0.516,0.392,5.495,5.559,0.9885,0.01038,257.97,67.03,0.5796199999999999,0.7361173999999999,3.09,3.484037,3.149426,2.387207,2.143885,89.55,83.82,8460.70,7920.18,42.86,39.55
1.49550,1,0.0413,0.516,0.392,5.495,5.559,0.9885,0.01038,257.97,67.03,0.579618,0.7361148599999999,3.09,3.453753,3.124076,2.404935,2.159849,90.15,83.84,8518.20,7921.73,43.21,39.55
1.49600,1,0.0413,0.515,0.392,5.495,5.559,0.9885,0.01038,257.97,67.03,0.5796159999999999,0.7361123199999999,3.09,3.430526,3.099427,2.417992,2.172706,89.05,84.26,8413.82,7961.55,42.57,39.80
1.49650,1,0.0414,0.515,0.392,5.495,5.559,0.9885,0.01038,257.98,67.03,0.579614,0.7361097799999999,3.09,3.401564,3.074891,2.423439,2.176169,89.76,83.92,8480.52,7929.16,42.98,39.60
1.49700,1,0.0414,0.514,0.391,5.495,5.559,0.9885,0.01038,257.98,67.03,0.5796119999999999,0.7361072399999999,3.09,3.377774,3.053839,2.42594,2.177641,89.89,83.63,8493.65,7901.65,43.06,39.43
1.49750,1,0.0414,0.514,0.391,5.495,5.559,0.9885,0.01038,257.98,67.03,0.57961,0.7361047,3.09,3.358699,3.038082,2.427883,2.178764,90.36,83.40,8537.27,7879.70,43.33,39.30
1.49800,1,0.0414,0.514,0.391,5.495,5.559,0.9885,0.01038,257.98,67.03,0.579608,0.7361021600000001,3.09,3.338042,3.022759,2.426549,2.174889,91.42,82.41,8637.92,7786.26,43.95,38.72
1.49850,1,0.0415,0.513,0.390,5.495,5.559,0.9885,0.01038,257.98,67.03,0.579606,0.73609962,3.09,3.298976,2.992126,2.397736,2.146702,93.20,81.74,8806.31,7722.89,44.98,38.34
1.49900,1,0.0415,0.513,0.390,5.495,5.559,0.9885,0.01039,257.98,67.03,0.579604,0.7360970800000001,3.09,3.273058,2.965837,2.386617,2.135364,92.27,81.23,8718.40,7675.40,44.44,38.04
1.49950,1,0.0415,0.512,0.390,5.495,5.559,0.9885,0.01039,257.98,67.03,0.579602,0.73609454,3.09,3.314192,3.021354,2.496488,2.250438,98.61,87.41,9316.85,8259.21,48.11,41.63
1.50000,1,0.0415,0.512,0.389,5.495,5.559,0.9885,0.01039,257.98,67.03,0.5796,0.736092,3.09,3.658044,3.472207,3.075169,2.886052,178.59,145.87,16873.84,13782.06,94.47,75.51
1.50050,1,0.0416,0.511,0.389,5.495,5.559,0.9885,0.01039,257.98,67.03,0.579598,0.73608946,3.09,3.246474,2.951373,2.515412,2.23911,95.81,77.63,9052.75,7335.31,46.49,35.96
1.50100,1,0.0416,0.511,0.389,5.495,5.559,0.9885,0.01039,257.99,67.03,0.579596,0.73608692,3.09,3.102938,2.800462,2.3431,2.043617,88.70,65.37,8380.42,6176.67,42.37,28.85
1.50150,1,0.0416,0.511,0.389,5.495,5.559,0.9885,0.01039,257.99,67.03,0.5795939999999999,0.73608438,3.09,3.026268,2.722637,2.310311,1.991638,85.90,59.87,8116.53,5657.08,40.75,25.66
1.50200,1,0.0416,0.510,0.388,5.495,5.559,0.9885,0.01039,257.99,67.03,0.579592,0.73608184,3.09,2.947214,2.649918,2.281342,1.950377,85.39,56.45,8068.08,5334.13,40.45,23.68
1.50250,1,0.0417,0.510,0.388,5.495,5.559,0.9885,0.01039,257.99,67.03,0.5795899999999999,0.7360792999999999,3.09,2.862908,2.561836,2.234254,1.894153,81.71,53.48,7720.36,5053.17,38.32,21.96
1.50300,1,0.0417,0.509,0.388,5.495,5.559,0.9885,0.01039,257.99,67.03,0.579588,0.73607676,3.09,2.780462,2.479721,2.186179,1.847196,79.17,52.32,7480.34,4943.63,36.85,21.29
1.50350,1,0.0417,0.509,0.387,5.495,5.559,0.9885,0.01039,257.99,67.03,0.5795859999999999,0.7360742199999999,3.09,2.699409,2.399381,2.126594,1.800551,76.79,53.03,7255.94,5010.57,35.47,21.70
1.50400,1,0.0418,0.509,0.387,5.495,5.559,0.9885,0.01039,257.99,67.03,0.579584,0.73607168,3.09,2.62098,2.325851,2.059607,1.753418,75.86,55.12,7167.26,5208.10,34.93,22.91
1.50450,1,0.0418,0.508,0.387,5.495,5.559,0.9885,0.01039,257.99,67.03,0.5795819999999999,0.7360691399999999,3.09,2.549814,2.255483,1.991314,1.70808,73.75,58.04,6968.54,5484.05,33.71,24.60
1.50500,1,0.0418,0.508,0.386,5.495,5.559,0.9885,0.01040,257.99,67.03,0.57958,0.7360666,3.09,2.485755,2.194277,1.933833,1.662275,72.46,58.92,6846.51,5567.03,32.96,25.11
1.50550,1,0.0418,0.507,0.386,5.495,5.559,0.9885,0.01040,257.99,67.03,0.5795779999999999,0.7360640599999999,3.09,2.433254,2.14305,1.890773,1.621425,71.07,57.94,6715.33,5474.21,32.16,24.54
1.50600,1,0.0419,0.507,0.386,5.494,5.559,0.9885,0.01040,258.00,67.03,0.579576,0.73606152,3.09,2.392269,2.103275,1.856008,1.583738,70.21,56.12,6633.92,5302.08,31.66,23.49
1.50650,1,0.0419,0.506,0.385,5.494,5.559,0.9885,0.01040,258.00,67.03,0.5795739999999999,0.7360589799999999,3.09,2.358151,2.07228,1.827279,1.549217,69.93,53.75,6607.56,5078.48,31.50,22.12
1.50700,1,0.0419,0.506,0.385,5.495,5.559,0.9885,0.01040,258.00,67.03,0.579572,0.73605644,3.09,2.331281,2.046516,1.807193,1.518524,69.33,50.75,6550.76,4794.95,31.15,20.38
1.50750,1,0.0420,0.506,0.385,5.494,5.559,0.9885,0.01040,258.00,67.03,0.5795699999999999,0.7360538999999999,3.09,2.313868,2.028712,1.790766,1.494675,68.80,48.81,6500.15,4612.19,30.84,19.26
1.50800,1,0.0420,0.505,0.385,5.494,5.559,0.9884,0.01040,258.00,67.03,0.579568,0.7360513599999999,3.09,2.302964,2.015812,1.773267,1.470562,67.87,46.97,6412.62,4437.73,30.30,18.19
1.50850,1,0.0420,0.505,0.384,5.494,5.559,0.9884,0.01040,258.00,67.03,0.5795659999999999,0.7360488199999999,3.09,2.29156,2.005745,1.752335,1.44825,67.85,46.05,6411.10,4351.01,30.29,17.66
1.50900,1,0.0420,0.504,0.384,5.494,5.559,0.9884,0.01040,258.00,67.03,0.579564,0.7360462799999999,3.09,2.286551,2.000035,1.736135,1.430668,67.49,45.28,6376.55,4278.30,30.08,17.21
