Freq,Trace1,Trace2,Trace3,Trace4
100000000,-74.1811439290094,0,0,0
118625000,-73.8829696802304,0,0,0
137250000,-73.5068237983214,0,0,0
155875000,-73.7337657146307,0,0,0
174500000,-73.339935741217,0,0,0
193125000,-72.9583370640849,0,0,0
211750000,-72.2857077882214,0,0,0
230375000,-72.1136904606878,0,0,0
249000000,-71.0074436356008,0,0,0
267625000,-70.1443261294227,0,0,0
286250000,-69.2020561977562,0,0,0
304875000,-68.070732807777,0,0,0
323500000,-66.2864941215035,0,0,0
342125000,-65.0682420278788,0,0,0
360750000,-64.0099142902931,0,0,0
379375000,-64.2258651900245,0,0,0
398000000,-62.4222871754495,0,0,0
416625000,-58.5696810442023,0,0,0
435250000,-52.8371660171336,0,0,0
453875000,-46.546999809744,0,0,0
472500000,-47.0764927832902,0,0,0
491125000,-51.8479146134089,0,0,0
509750000,-54.5732075944802,0,0,0
528375000,-55.9299813279202,0,0,0
547000000,-55.5872771664823,0,0,0
565625000,-45.2708388563355,0,0,0
584250000,-44.570689886554,0,0,0
602875000,-46.6734474435467,0,0,0
621500000,-45.6329954405418,0,0,0
640125000,-41.8652432063277,0,0,0
658750000,-36.9741208145457,0,0,0
677375000,-29.5032747218863,0,0,0
696000000,-35.4868834987241,0,0,0
714625000,-41.0921288266848,0,0,0
733250000,-40.1251695954723,0,0,0
751875000,-28.2680368428639,0,0,0
770500000,-25.489094641426,0,0,0
789125000,-34.7591132441691,0,0,0
807750000,-31.4997888578517,0,0,0
826375000,-26.8789226011416,0,0,0
845000000,-27.5395586597419,0,0,0
863625000,-31.0052317806091,0,0,0
882250000,-28.3357666730196,0,0,0
900875000,-28.5415826095794,0,0,0
919500000,-29.3052295226445,0,0,0
938125000,-29.6839449828956,0,0,0
956750000,-28.8398919741181,0,0,0
975375000,-30.0809947991569,0,0,0
994000000,-28.7342893820049,0,0,0
1012625000,-30.5613646493212,0,0,0
1031250000,-29.1286603080607,0,0,0
1049875000,-29.4971082485956,0,0,0
1068500000,-29.7299184001522,0,0,0
1087125000,-30.1992671213233,0,0,0
1105750000,-29.4887620837803,0,0,0
1124375000,-28.6224499713868,0,0,0
1143000000,-30.704507524872,0,0,0
1161625000,-29.5153186286581,0,0,0
1180250000,-30.3258714027651,0,0,0
1198875000,-28.2236241837134,0,0,0
1217500000,-28.8456758823072,0,0,0
1236125000,-30.2451971843009,0,0,0
1254750000,-28.1170439717697,0,0,0
1273375000,-29.8164091281184,0,0,0
1292000000,-27.6498912846085,0,0,0
1310625000,-28.1051333853046,0,0,0
1329250000,-29.8877437132355,0,0,0
1347875000,-27.5304687881528,0,0,0
1366500000,-29.1996158781919,0,0,0
1385125000,-27.9029288871888,0,0,0
1403750000,-27.7260989577519,0,0,0
1422375000,-30.7187307121519,0,0,0
1441000000,-27.6573891767133,0,0,0
1459625000,-28.6964114320819,0,0,0
1478250000,-29.7682371451408,0,0,0
1496875000,-28.7525553793998,0,0,0
1515500000,-30.2906633168892,0,0,0
1534125000,-29.1724285255415,0,0,0
1552750000,-28.1310822800877,0,0,0
1571375000,-30.578065959456,0,0,0
1590000000,-31.5594081761891,0,0,0
1608625000,-29.6696862702829,0,0,0
