Freq,Trace1,Trace2,Trace3,Trace4
100000000,-69.7871708210723,0,0,0
118625000,-69.6846988656353,0,0,0
137250000,-69.704787420731,0,0,0
155875000,-69.1209164443663,0,0,0
174500000,-68.8766959365173,0,0,0
193125000,-68.7786274116279,0,0,0
211750000,-68.7587889187419,0,0,0
230375000,-68.6325952275607,0,0,0
249000000,-68.1426436083597,0,0,0
267625000,-67.9909531646673,0,0,0
286250000,-68.2056845223725,0,0,0
304875000,-68.3418766260087,0,0,0
323500000,-66.3685158001348,0,0,0
342125000,-64.4067998568849,0,0,0
360750000,-66.7024882234397,0,0,0
379375000,-66.4848074753737,0,0,0
398000000,-65.9554460989683,0,0,0
416625000,-64.1046052109232,0,0,0
435250000,-56.1180266245017,0,0,0
453875000,-42.2419391516333,0,0,0
472500000,-44.1247243474892,0,0,0
491125000,-59.321510080746,0,0,0
509750000,-60.4218306059827,0,0,0
528375000,-61.2175273145787,0,0,0
547000000,-62.6322470023564,0,0,0
565625000,-51.4296830557563,0,0,0
584250000,-50.7486508854776,0,0,0
602875000,-54.1432544704367,0,0,0
621500000,-50.5368646041418,0,0,0
640125000,-48.3738452280011,0,0,0
658750000,-43.605113714371,0,0,0
677375000,-32.8326716851466,0,0,0
696000000,-40.4432137933692,0,0,0
714625000,-44.4455645101377,0,0,0
733250000,-29.277544199557,0,0,0
751875000,-28.813194354201,0,0,0
770500000,-29.6263385487982,0,0,0
789125000,-40.5244554286043,0,0,0
807750000,-36.9308929069593,0,0,0
826375000,-32.9408688635458,0,0,0
845000000,-33.1730675085206,0,0,0
863625000,-36.1299619605454,0,0,0
882250000,-29.5575978068131,0,0,0
900875000,-33.3886379779156,0,0,0
919500000,-39.2216333576924,0,0,0
938125000,-40.0039696280181,0,0,0
956750000,-38.4935631236895,0,0,0
975375000,-38.7927047407818,0,0,0
994000000,-37.8348891395083,0,0,0
1012625000,-39.0298203111192,0,0,0
1031250000,-38.7847922062485,0,0,0
1049875000,-39.0642555625749,0,0,0
1068500000,-38.6895847648167,0,0,0
1087125000,-40.9436374111256,0,0,0
1105750000,-39.3543847196793,0,0,0
1124375000,-39.1875600006321,0,0,0
1143000000,-39.8926790320232,0,0,0
1161625000,-39.6748488125725,0,0,0
1180250000,-38.5205384052337,0,0,0
1198875000,-37.385379634756,0,0,0
1217500000,-37.0257982834627,0,0,0
1236125000,-37.9632834892489,0,0,0
1254750000,-38.4629813196307,0,0,0
1273375000,-37.4313997349716,0,0,0
1292000000,-38.9029652352078,0,0,0
1310625000,-38.0671922064437,0,0,0
1329250000,-38.6201795384882,0,0,0
1347875000,-38.4775887035835,0,0,0
1366500000,-39.4924419192313,0,0,0
1385125000,-38.4529042317842,0,0,0
1403750000,-38.8010260786488,0,0,0
1422375000,-40.516692377292,0,0,0
1441000000,-39.6219620199,0,0,0
1459625000,-39.0439718134873,0,0,0
1478250000,-39.8094603162416,0,0,0
1496875000,-39.5382344712197,0,0,0
1515500000,-39.653672098827,0,0,0
1534125000,-40.0783742143003,0,0,0
1552750000,-36.0501663621957,0,0,0
1571375000,-35.4300097381931,0,0,0
1590000000,-39.3347510515541,0,0,0
1608625000,-39.3561952631097,0,0,0
1627250000,-32.5106106382311,0,0,0
1645875000,-40.4021053541863,0,0,0
1664500000,-40.2485674501606,0,0,0
1683125000,-39.9720712628302,0,0,0
1701750000,-40.8606498581063,0,0,0
1720375000,-40.8217508313858,0,0,0
1739000000,-39.746534841123,0,0,0
1757625000,-40.2894252252759,0,0,0
1776250000,-39.8391669654663,0,0,0
1794875000,-39.4390049465066,0,0,0
1813500000,-39.3813375111967,0,0,0
1832125000,-39.9958078360186,0,0,0
1850750000,-40.0731586570546,0,0,0
1869375000,-38.8070955766435,0,0,0
1888000000,-38.9477455825714,0,0,0
1906625000,-39.89098044577,0,0,0
1925250000,-39.5827570208171,0,0,0
1943875000,-39.6214879573644,0,0,0
1962500000,-39.2855851821105,0,0,0
1981125000,-40.0309729625647,0,0,0
1999750000,-39.6318447828752,0,0,0
2018375000,-39.5505435822723,0,0,0
2037000000,-40.2182367802009,0,0,0
2055625000,-40.9540185473019,0,0,0
2074250000,-40.1681806550732,0,0,0
2092875000,-40.4751163998438,0,0,0
2111500000,-41.0297366002461,0,0,0
2130125000,-37.9205619602587,0,0,0
2148750000,-38.917517681932,0,0,0
2167375000,-39.7830229779806,0,0,0
2186000000,-41.5851275955459,0,0,0
2204625000,-42.0020716307684,0,0,0
2223250000,-41.5603256821899,0,0,0
2241875000,-41.5058595991491,0,0,0
2260500000,-41.9251502566596,0,0,0
2279125000,-41.4457011020249,0,0,0
2297750000,-40.8307549711361,0,0,0
2316375000,-38.9707672798998,0,0,0
2335000000,-38.0978424371227,0,0,0
2353625000,-39.3179300892773,0,0,0
2372250000,-41.2979244231979,0,0,0
2390875000,-40.5115130762087,0,0,0
2409500000,-38.9479666234507,0,0,0
2428125000,-40.7014080105588,0,0,0
2446750000,-40.4036280484598,0,0,0
2465375000,-40.0371476846176,0,0,0
2484000000,-40.3205754928082,0,0,0
2502625000,-41.0695046282187,0,0,0
2521250000,-41.6291826141891,0,0,0
2539875000,-40.9500084833946,0,0,0
2558500000,-41.1030662443836,0,0,0
2577125000,-41.1895941551898,0,0,0
2595750000,-41.858909331911,0,0,0
2614375000,-41.7621773674351,0,0,0
2633000000,-41.4896642627413,0,0,0
2651625000,-41.2370544392006,0,0,0
2670250000,-41.5613079113678,0,0,0
2688875000,-42.5190176214966,0,0,0
2707500000,-42.7019360538391,0,0,0
2726125000,-41.9013412542673,0,0,0
2744750000,-41.4718329975307,0,0,0
2763375000,-41.816680709746,0,0,0
2782000000,-42.0373490494222,0,0,0
2800625000,-42.4753899500447,0,0,0
2819250000,-42.5637302235402,0,0,0
2837875000,-42.9213591540683,0,0,0
2856500000,-42.8611549661462,0,0,0
2875125000,-42.5408462950158,0,0,0
2893750000,-41.9072853510662,0,0,0
2912375000,-41.1980733268253,0,0,0
2931000000,-40.7934278662017,0,0,0
2949625000,-40.9012558398755,0,0,0
2968250000,-41.534062032637,0,0,0
2986875000,-41.9703596521206,0,0,0
3005500000,-41.6705020986458,0,0,0
3024125000,-41.2691461508237,0,0,0
3042750000,-40.9188848436035,0,0,0
3061375000,-41.4914452002487,0,0,0
3080000000,-41.983525881522,0,0,0
3098625000,-41.9640812522385,0,0,0
3117250000,-42.5180435323967,0,0,0
3135875000,-43.1953866380084,0,0,0
3154500000,-43.2217313481584,0,0,0
3173125000,-43.1264225920324,0,0,0
3191750000,-43.3102802440049,0,0,0
3210375000,-42.9490911337427,0,0,0
3229000000,-42.6647342805347,0,0,0
3247625000,-41.7724018767735,0,0,0
3266250000,-41.9369668702815,0,0,0
3284875000,-42.262083680629,0,0,0
3303500000,-42.6932032341449,0,0,0
3322125000,-43.3043492633123,0,0,0
3340750000,-42.9363417723592,0,0,0
3359375000,-42.9472279980923,0,0,0
3378000000,-42.9131044683085,0,0,0
3396625000,-42.9288311965637,0,0,0
3415250000,-42.1695484774465,0,0,0
3433875000,-42.5087321876067,0,0,0
3452500000,-42.3993187877533,0,0,0
3471125000,-42.1148732003575,0,0,0
3489750000,-42.1821800652002,0,0,0
3508375000,-41.5540178249258,0,0,0
3527000000,-41.6618748621141,0,0,0
3545625000,-42.0197614307233,0,0,0
3564250000,-42.5359314906177,0,0,0
3582875000,-42.8973414392169,0,0,0
3601500000,-43.5072068218503,0,0,0
3620125000,-43.4389505216598,0,0,0
