Freq,Trace1,Trace2,Trace3,Trace4
100000000,-74.8845227785122,0,0,0
118625000,-74.6930738105647,0,0,0
137250000,-74.0547302809949,0,0,0
155875000,-74.3848713216207,0,0,0
174500000,-73.9162141682667,0,0,0
193125000,-73.600543994382,0,0,0
211750000,-73.6779391176668,0,0,0
230375000,-73.3199146444693,0,0,0
249000000,-73.2404519489169,0,0,0
267625000,-72.8545584392686,0,0,0
286250000,-73.1887624324833,0,0,0
304875000,-72.94021806811,0,0,0
323500000,-72.7337789033733,0,0,0
342125000,-72.2664016348856,0,0,0
360750000,-71.5126533736208,0,0,0
379375000,-70.8508105949297,0,0,0
398000000,-68.6647363063917,0,0,0
416625000,-65.8591092206235,0,0,0
435250000,-62.9766523196522,0,0,0
453875000,-60.7535967450994,0,0,0
472500000,-57.9048993151243,0,0,0
491125000,-53.9293661683879,0,0,0
509750000,-47.1793714722052,0,0,0
528375000,-44.0541276053899,0,0,0
547000000,-51.9308980766481,0,0,0
565625000,-59.3844989998852,0,0,0
584250000,-57.0050402988357,0,0,0
602875000,-52.8351391754996,0,0,0
621500000,-50.5884413118341,0,0,0
640125000,-49.3384693548526,0,0,0
658750000,-48.9664454213572,0,0,0
677375000,-48.0388265142854,0,0,0
696000000,-47.2530070512291,0,0,0
714625000,-46.2976612121362,0,0,0
733250000,-46.65924755676,0,0,0
751875000,-45.820906130035,0,0,0
770500000,-45.4488286716272,0,0,0
789125000,-44.4447041540751,0,0,0
807750000,-43.9024839161198,0,0,0
826375000,-43.5217495511262,0,0,0
845000000,-43.0601074323852,0,0,0
863625000,-42.6902558377061,0,0,0
882250000,-42.1832001287505,0,0,0
900875000,-41.8845972234823,0,0,0
919500000,-41.1967347358122,0,0,0
938125000,-40.476297391423,0,0,0
956750000,-39.9392979503334,0,0,0
975375000,-38.7370182892156,0,0,0
994000000,-36.9311275465611,0,0,0
1012625000,-34.5874613909286,0,0,0
1031250000,-30.6430508743531,0,0,0
1049875000,-25.8400948589009,0,0,0
1068500000,-26.2344729276961,0,0,0
