Freq,Trace1,Trace2,Trace3,Trace4
100000000,-74.5055251778173,0,0,0
118625000,-74.047878812264,0,0,0
137250000,-73.661655721063,0,0,0
155875000,-73.8033883011171,0,0,0
174500000,-73.5441584522403,0,0,0
193125000,-73.3216474199973,0,0,0
211750000,-73.3521548739692,0,0,0
230375000,-72.9593329755197,0,0,0
249000000,-72.585515927099,0,0,0
267625000,-72.701567711244,0,0,0
286250000,-72.486012165764,0,0,0
304875000,-72.4963511224337,0,0,0
323500000,-72.3263691644152,0,0,0
342125000,-72.3991194280086,0,0,0
360750000,-72.0495924026407,0,0,0
379375000,-71.1116970977748,0,0,0
398000000,-70.3501245704681,0,0,0
416625000,-69.105502409044,0,0,0
435250000,-67.1674289883574,0,0,0
453875000,-66.0701318905593,0,0,0
472500000,-64.5129967843309,0,0,0
491125000,-61.8827324941433,0,0,0
509750000,-58.8309054751493,0,0,0
528375000,-51.1801892736601,0,0,0
547000000,-50.4804881153273,0,0,0
565625000,-56.8387728324545,0,0,0
584250000,-59.3488959914183,0,0,0
602875000,-56.1459236818893,0,0,0
621500000,-54.1837351685576,0,0,0
640125000,-52.7894766576699,0,0,0
658750000,-51.9370320868057,0,0,0
677375000,-51.5664507061811,0,0,0
696000000,-51.010450773339,0,0,0
714625000,-50.6170862468289,0,0,0
733250000,-50.741396791776,0,0,0
751875000,-50.1501674929273,0,0,0
770500000,-50.0322933526567,0,0,0
789125000,-50.2835407896257,0,0,0
807750000,-49.8112278162279,0,0,0
826375000,-49.8005603475877,0,0,0
845000000,-49.1427961195903,0,0,0
863625000,-49.2244006148497,0,0,0
882250000,-49.1406623190025,0,0,0
900875000,-48.7014540740313,0,0,0
919500000,-48.4888641490636,0,0,0
938125000,-48.1449790943275,0,0,0
956750000,-47.5907929970287,0,0,0
975375000,-47.1242392063542,0,0,0
994000000,-46.3989297739436,0,0,0
1012625000,-45.0210661566896,0,0,0
1031250000,-43.3881086470375,0,0,0
1049875000,-39.1828497226814,0,0,0
1068500000,-31.5556156205736,0,0,0
1087125000,-28.2200711618028,0,0,0
1105750000,-36.3594265297513,0,0,0
1124375000,-34.3388371761437,0,0,0
1143000000,-39.0882594598909,0,0,0
1161625000,-44.8584734629667,0,0,0
1180250000,-46.4019484192936,0,0,0
1198875000,-47.5092074085488,0,0,0
1217500000,-47.8904758734104,0,0,0
1236125000,-47.7544426671848,0,0,0
1254750000,-48.1052409759237,0,0,0
1273375000,-48.2315801951821,0,0,0
1292000000,-48.3232523644228,0,0,0
1310625000,-48.1825031444785,0,0,0
1329250000,-48.0622137060574,0,0,0
1347875000,-48.2240974943557,0,0,0
1366500000,-48.0037208525331,0,0,0
1385125000,-47.5374197930471,0,0,0
1403750000,-47.8323666865467,0,0,0
1422375000,-47.5218057603701,0,0,0
1441000000,-47.4143081465612,0,0,0
1459625000,-47.0109721411389,0,0,0
1478250000,-46.6879653112906,0,0,0
1496875000,-46.2093891306642,0,0,0
1515500000,-45.8455104995805,0,0,0
1534125000,-44.8993521352202,0,0,0
1552750000,-43.7059554376245,0,0,0
1571375000,-42.2353545111686,0,0,0
1590000000,-39.2457968852129,0,0,0
1608625000,-33.9111044392228,0,0,0
1627250000,-31.1279568545348,0,0,0
1645875000,-33.3661887410432,0,0,0
1664500000,-38.9997083646952,0,0,0
1683125000,-34.2361139672268,0,0,0
1701750000,-34.5765271950385,0,0,0
1720375000,-41.918578902553,0,0,0
1739000000,-45.5539384192448,0,0,0
1757625000,-46.7325502269116,0,0,0
1776250000,-47.1779511411859,0,0,0
1794875000,-47.4604037854568,0,0,0
1813500000,-47.8612353977224,0,0,0
1832125000,-47.9400851041204,0,0,0
1850750000,-48.0093848703918,0,0,0
1869375000,-47.8097260753672,0,0,0
1888000000,-47.5877891672734,0,0,0
1906625000,-47.7778062813224,0,0,0
1925250000,-47.7231430207126,0,0,0
1943875000,-47.4338945315084,0,0,0
1962500000,-47.1579081682385,0,0,0
1981125000,-47.0230293802258,0,0,0
1999750000,-46.2355520097818,0,0,0
2018375000,-45.8679093802513,0,0,0
2037000000,-45.7042673375198,0,0,0
2055625000,-45.1449528537331,0,0,0
2074250000,-44.1469239006976,0,0,0
2092875000,-43.3195753078277,0,0,0
2111500000,-42.1643624307648,0,0,0
2130125000,-39.9803860605065,0,0,0
2148750000,-36.0542582119796,0,0,0
2167375000,-31.8203698559917,0,0,0
2186000000,-32.2117507119534,0,0,0
2204625000,-36.2305274112858,0,0,0
2223250000,-40.790709523643,0,0,0
2241875000,-37.4751989467388,0,0,0
2260500000,-35.5608310061654,0,0,0
2279125000,-41.0125312359555,0,0,0
2297750000,-45.1650913535806,0,0,0
2316375000,-47.302756724325,0,0,0
2335000000,-47.9054960776773,0,0,0
2353625000,-48.439267451112,0,0,0
2372250000,-48.6401333349366,0,0,0
2390875000,-48.4867096580592,0,0,0
2409500000,-48.4316009260914,0,0,0
2428125000,-48.5266818682297,0,0,0
2446750000,-48.2199256618371,0,0,0
2465375000,-47.9227379919136,0,0,0
2484000000,-47.8780581583571,0,0,0
2502625000,-47.3658541967284,0,0,0
2521250000,-47.0973559523463,0,0,0
2539875000,-47.1680938198174,0,0,0
2558500000,-46.561341385198,0,0,0
2577125000,-46.099116335709,0,0,0
2595750000,-45.1242148214022,0,0,0
2614375000,-44.6567957272156,0,0,0
2633000000,-44.3702582906837,0,0,0
2651625000,-43.2086212307024,0,0,0
2670250000,-41.8984510042228,0,0,0
2688875000,-39.5284009176847,0,0,0
2707500000,-35.6643582210515,0,0,0
2726125000,-33.6609331099898,0,0,0
2744750000,-34.9373111883526,0,0,0
2763375000,-38.9184585254305,0,0,0
2782000000,-42.3579493467714,0,0,0
2800625000,-40.9495206314883,0,0,0
2819250000,-36.9133962016442,0,0,0
2837875000,-37.3483202593727,0,0,0
2856500000,-42.9194289335135,0,0,0
2875125000,-46.5691696039674,0,0,0
2893750000,-47.2206298170212,0,0,0
2912375000,-48.0124380298535,0,0,0
2931000000,-48.4838979668199,0,0,0
2949625000,-48.7173475862733,0,0,0
2968250000,-48.0947181763296,0,0,0
2986875000,-48.6239615738266,0,0,0
3005500000,-48.2120445742977,0,0,0
3024125000,-48.0276886631582,0,0,0
3042750000,-47.7159437382012,0,0,0
3061375000,-47.3461357677986,0,0,0
3080000000,-47.2074844779291,0,0,0
3098625000,-46.5672820645238,0,0,0
3117250000,-46.4881181213151,0,0,0
3135875000,-46.1963053573505,0,0,0
3154500000,-45.1775117077022,0,0,0
3173125000,-44.6067230089644,0,0,0
3191750000,-43.7417374409753,0,0,0
3210375000,-42.2317133272832,0,0,0
3229000000,-39.9578396910866,0,0,0
3247625000,-38.1192070704653,0,0,0
3266250000,-36.0907706904873,0,0,0
3284875000,-36.3948586379328,0,0,0
3303500000,-37.8768224652682,0,0,0
3322125000,-41.2521144411835,0,0,0
3340750000,-42.9619977727555,0,0,0
3359375000,-41.8308602253425,0,0,0
3378000000,-38.1211113135483,0,0,0
3396625000,-37.3140649206634,0,0,0
3415250000,-40.506412433385,0,0,0
3433875000,-44.3388573221122,0,0,0
3452500000,-46.5452226394341,0,0,0
3471125000,-47.8016543190312,0,0,0
3489750000,-48.1979775421825,0,0,0
3508375000,-48.5465205315101,0,0,0
3527000000,-48.4066394819844,0,0,0
3545625000,-48.2391109847101,0,0,0
3564250000,-47.9557309055605,0,0,0
3582875000,-47.9612061331302,0,0,0
3601500000,-47.5452601504959,0,0,0
3620125000,-47.4370853115968,0,0,0
3638750000,-46.3888207269346,0,0,0
3657375000,-46.2998270869514,0,0,0
3676000000,-45.8760831755313,0,0,0
3694625000,-45.4445698092722,0,0,0
3713250000,-44.5717227102122,0,0,0
3731875000,-43.8917423245873,0,0,0
3750500000,-43.1678843634505,0,0,0
3769125000,-41.6135655741149,0,0,0
3787750000,-40.273677336497,0,0,0
3806375000,-39.5402338001443,0,0,0
3825000000,-38.7987401664184,0,0,0
3843625000,-39.0110342987496,0,0,0
3862250000,-40.3740564623842,0,0,0
3880875000,-42.5964415579425,0,0,0
3899500000,-43.5194156887986,0,0,0
3918125000,-42.3634276535429,0,0,0
3936750000,-40.0166798344425,0,0,0
3955375000,-37.9280710495666,0,0,0
3974000000,-39.0167827476548,0,0,0
3992625000,-41.9708021759105,0,0,0
4011250000,-45.1757175410869,0,0,0
4029875000,-46.9498154362328,0,0,0
4048500000,-47.8633637603083,0,0,0
4067125000,-48.190257199054,0,0,0
4085750000,-48.2555415757934,0,0,0
4104375000,-48.3537553621251,0,0,0
4123000000,-48.3763754035297,0,0,0
4141625000,-48.0150401751001,0,0,0
4160250000,-47.6147453168426,0,0,0
4178875000,-47.3384466126551,0,0,0
4197500000,-47.0914502751928,0,0,0
4216125000,-46.8450411325401,0,0,0
4234750000,-46.455538730611,0,0,0
4253375000,-46.1618093654025,0,0,0
4272000000,-45.3676746318025,0,0,0
4290625000,-44.8987080208943,0,0,0
4309250000,-44.061615889334,0,0,0
4327875000,-43.6015520190495,0,0,0
4346500000,-42.6429185557757,0,0,0
4365125000,-42.7118826941211,0,0,0
4383750000,-42.4427135884812,0,0,0
4402375000,-42.7089350924146,0,0,0
4421000000,-43.9802554845011,0,0,0
4439625000,-44.9486542416742,0,0,0
4458250000,-45.232937723433,0,0,0
4476875000,-44.213034378697,0,0,0
4495500000,-42.3831634809588,0,0,0
4514125000,-41.3704470251949,0,0,0
4532750000,-41.536817830619,0,0,0
4551375000,-43.0912426199855,0,0,0
4570000000,-45.5175991018314,0,0,0
4588625000,-46.6425275291301,0,0,0
4607250000,-47.960299905324,0,0,0
4625875000,-48.3816675975148,0,0,0
4644500000,-48.8283299413518,0,0,0
4663125000,-48.6679606879408,0,0,0
4681750000,-48.3686733661784,0,0,0
4700375000,-48.5189335797363,0,0,0
4719000000,-48.354986940346,0,0,0
4737625000,-47.9539878352793,0,0,0
4756250000,-47.5499933981831,0,0,0
4774875000,-47.3425518555341,0,0,0
4793500000,-47.0159351669555,0,0,0
4812125000,-46.766591069987,0,0,0
4830750000,-46.4700924926546,0,0,0
4849375000,-46.1181281421276,0,0,0
4868000000,-45.3030024413894,0,0,0
4886625000,-45.0518924866598,0,0,0
4905250000,-44.8579234639289,0,0,0
4923875000,-44.8421123303631,0,0,0
4942500000,-45.0201558495466,0,0,0
4961125000,-45.2574532314432,0,0,0
4979750000,-46.1470013681977,0,0,0
4998375000,-46.4470120676604,0,0,0
5017000000,-46.8425705213638,0,0,0
5035625000,-46.5138904408125,0,0,0
5054250000,-45.6635050467806,0,0,0
5072875000,-44.9118417258003,0,0,0
5091500000,-44.5841564397381,0,0,0
5110125000,-44.4454340731653,0,0,0
5128750000,-45.744575375833,0,0,0
5147375000,-46.9881425247373,0,0,0
5166000000,-47.9135056687957,0,0,0
5184625000,-48.7191402879363,0,0,0
5203250000,-48.9542768251347,0,0,0
