Frequency,Tuning,L,MW_On,MW_Off,TatmTcmb_On,TatmTcmb_Off,AtmosAtten_On,Tau,Tatm,ElevOff,ApEff,BeamEff,TSpill_Off,P_On_x_1,P_Off_x_1,P_On_y_1,P_Off_y_1,TSYSdivEta_x_1,TSYSdivEta_y_1,SEFD_x_1,SEFD_y_1,TRCVR_x_1,TRCVR_y_1
7.03950,11,0.6604,0.008,0.009,13.304,14.280,0.9748,0.04121,265.89,66.44,0.557442,0.70795134,3.05,3.712886,1.486413,3.430367,1.364742,98.85,97.82,9339.69,9242.93,37.76,37.19
7.04000,11,0.6604,0.008,0.009,13.304,14.280,0.9748,0.04121,265.89,66.44,0.5574399999999999,0.7079487999999999,3.05,3.713365,1.487477,3.44182,1.367018,98.95,97.55,9348.83,9217.39,37.82,37.04
7.04050,11,0.6605,0.008,0.009,13.304,14.280,0.9748,0.04122,265.89,66.44,0.557438,0.70794626,3.05,3.71476,1.487446,3.4509,1.373067,98.89,97.86,9344.07,9246.07,37.79,37.21
7.04100,11,0.6606,0.008,0.009,13.303,14.280,0.9748,0.04122,265.89,66.44,0.5574359999999999,0.7079437199999999,3.05,3.723298,1.488411,3.466076,1.375596,98.64,97.46,9319.86,9208.45,37.65,36.99
7.04150,11,0.6606,0.008,0.009,13.303,14.280,0.9748,0.04123,265.89,66.44,0.557434,0.70794118,3.05,3.731025,1.492522,3.475675,1.379648,98.75,97.49,9330.50,9211.14,37.71,37.00
7.04200,11,0.6607,0.008,0.009,13.303,14.280,0.9748,0.04123,265.89,66.44,0.5574319999999999,0.70793864,3.05,3.738496,1.494641,3.494262,1.387326,98.67,97.54,9322.87,9215.84,37.66,37.03
7.04250,11,0.6608,0.008,0.009,13.303,14.280,0.9748,0.04124,265.89,66.44,0.55743,0.7079361,3.05,3.751416,1.498604,3.515352,1.392993,98.55,97.24,9311.83,9187.63,37.60,36.86
7.04300,11,0.6608,0.008,0.009,13.330,14.280,0.9748,0.04124,265.89,66.44,0.5574279999999999,0.70793356,3.05,3.763894,1.503595,3.536674,1.401257,98.55,97.22,9311.90,9185.62,37.60,36.85
7.04350,11,0.6609,0.008,0.009,13.329,14.280,0.9748,0.04124,265.89,66.44,0.557426,0.70793102,3.05,3.784077,1.510522,3.559654,1.411004,98.45,97.31,9301.66,9193.94,37.54,36.90
7.04400,11,0.6610,0.008,0.009,13.329,14.280,0.9748,0.04125,265.89,66.44,0.5574239999999999,0.7079284799999999,3.05,3.804503,1.519282,3.588471,1.420905,98.53,97.15,9309.26,9179.04,37.58,36.81
