# PAM module, input atten 40 dB -> -53 dBm in
# this test begun at: 9/13/02 5:34:41 PM 
# col1 = elapsed time in secs
# col2 = temperature in C
# col3 = gain at 3 GHz, averaged over 1 sec
# col4 = rms scatter in gain
10.55  24.822  48.687  0.155 
12.80  24.811  48.668  0.158 
17.03  24.860  48.679  0.161 
18.84  24.826  48.679  0.158 
20.88  24.847  48.676  0.160 
22.91  24.867  48.679  0.158 
24.83  24.847  48.671  0.157 
26.81  24.854  48.674  0.158 
28.79  24.880  48.679  0.158 
30.82  24.893  48.675  0.157 
32.80  24.882  48.678  0.157 
34.83  24.898  48.673  0.158 
36.80  24.922  48.671  0.155 
38.78  24.907  48.675  0.160 
40.81  24.926  48.675  0.157 
42.79  24.893  48.679  0.155 
44.82  24.901  48.671  0.157 
46.80  24.906  48.678  0.157 
48.83  24.879  48.677  0.162 
50.81  24.888  48.668  0.157 
52.79  24.884  48.676  0.158 
54.82  24.888  48.673  0.159 
56.80  24.883  48.673  0.157 
58.83  24.907  48.675  0.154 
60.81  24.903  48.673  0.161 
62.78  24.888  48.678  0.160 
64.82  24.866  48.672  0.158 
66.79  24.868  48.672  0.157 
68.83  24.892  48.673  0.157 
70.80  24.919  48.671  0.159 
72.78  24.913  48.671  0.158 
74.81  24.883  48.674  0.157 
76.79  24.872  48.671  0.162 
78.82  24.887  48.671  0.155 
80.80  24.953  48.674  0.159 
82.78  25.233  48.673  0.159 
84.81  25.225  48.679  0.156 
86.79  25.225  48.677  0.154 
88.82  25.209  48.669  0.156 
90.80  25.176  48.670  0.155 
92.83  25.192  48.668  0.161 
94.81  25.175  48.675  0.154 
96.78  25.124  48.677  0.160 
98.82  25.126  48.671  0.155 
100.79  25.138  48.671  0.162 
102.83  25.169  48.673  0.159 
104.80  25.123  48.670  0.160 
106.78  25.109  48.675  0.160 
108.81  25.146  48.669  0.158 
110.79  25.136  48.668  0.156 
112.82  25.114  48.667  0.156 
114.80  25.135  48.670  0.157 
116.78  25.143  48.669  0.156 
118.81  25.132  48.670  0.157 
120.79  25.116  48.672  0.162 
122.82  25.127  48.671  0.159 
