0.000  -99.227
10.000  -99.227
20.000  -99.227
30.000  -99.227
40.000  -99.227
50.000  -99.227
60.000  -99.227
70.000  -99.227
80.000  -98.509
90.000  -91.692
100.000  -84.894
110.000  -78.767
120.000  -73.110
130.000  -67.847
140.000  -62.844
150.000  -58.087
160.000  -53.609
170.000  -49.315
180.000  -45.219
190.000  -41.229
200.000  -37.191
210.000  -33.343
220.000  -29.496
230.000  -25.616
240.000  -21.731
250.000  -17.771
260.000  -13.838
270.000  -9.933
280.000  -6.140
290.000  -2.346
300.000  -0.809
310.000  -0.086
320.000  -0.028
330.000  -0.135
340.000  -0.223
350.000  -0.264
360.000  -0.255
370.000  -0.221
380.000  -0.185
390.000  -0.140
400.000  -0.104
410.000  -0.075
420.000  -0.052
430.000  -0.032
440.000  -0.019
450.000  -0.013
460.000  -0.008
470.000  -0.003
480.000  -0.010
490.000  -0.100
500.000  -0.100
510.000  -0.100
520.000  -0.100
530.000  -0.100
540.000  -0.100
550.000  -0.100
560.000  -0.100
570.000  -0.150
580.000  -0.150
590.000  -0.150
600.000  -0.200
