X:
35	0.05
82	1.545
86	1.6518
129	3.04
176	4.535
192	5.0
223	6.03
270	7.525
316	9.02
348	10.0
363	10.515
410	12.01
457	13.505
504	15.0
Y:
113	60.0
156	50.0
198	40.0
241	30.0
283	20.0
326	10.0
368	0.0
411	-10.0
Data:
35	298
38	376
40	313
43	203
45	168
50	158
53	155
59	155
70	148
75	146
82	142
86	141
96	146
106	151
108	154
110	151
112	156
117	156
124	149
129	153
135	152
139	154
143	153
148	156
152	158
158	157
165	160
173	163
176	162
183	164
186	165
191	161
196	156
202	155
206	152
211	152
214	150
216	151
222	149
224	149
228	152
233	152
235	153
238	151
242	151
244	150
249	150
252	146
258	146
260	143
263	141
266	142
270	139
274	139
277	141
270	139
284	139
286	141
290	141
293	140
295	142
300	142
302	145
307	145
308	144
312	144
316	148
322	149
326	154
328	153
335	160
338	158
345	161
349	159
352	160
356	166
359	163
362	166
366	174
368	173
377	187
380	187
383	198
386	202
388	202
391	209
396	215
401	217
404	226
406	229
410	229
413	237
415	245
418	243
420	242
423	248
427	248
429	246
434	251
436	254
438	251
441	251
445	257
449	259
453	266
457	271
459	269
463	274
466	270
469	274
471	274
474	281
478	281
481	269
483	265
487	264
491	257
493	257
496	261
500	265
504	257
