Drill List

     X           Y       Diameter    Start Layer            End Layer
     4026         676          20    TOP METAL             BOT METAL         
     3784         498          20    TOP METAL             BOT METAL         
     2100        1900          90    TOP METAL             BOT METAL         
   3415.1     1463.88          20    TOP METAL             BOT METAL         
     2500        1250          90    TOP METAL             BOT METAL         
     6900        1320          30    TOP METAL             BOT METAL         
     4915         356          15    TOP METAL             BOT METAL         
     5215         354          15    TOP METAL             BOT METAL         
     1522         292          20    TOP METAL             BOT METAL         
     6786        1054          10    TOP METAL             BOT METAL         
     6798         942          10    TOP METAL             BOT METAL         
     6862         942          10    TOP METAL             BOT METAL         
  4830.99        1060          15    TOP METAL             BOT METAL         
  4830.99        1010          15    TOP METAL             BOT METAL         
  4881.94        1025           8    TOP METAL             BOT METAL         
  4881.29     979.437           8    TOP METAL             BOT METAL         
  5209.37     1039.37           8    TOP METAL             BOT METAL         
  5130.63     1039.37           8    TOP METAL             BOT METAL         
  5130.63      960.63           8    TOP METAL             BOT METAL         
     5170        1000           8    TOP METAL             BOT METAL         
     5170      960.63           8    TOP METAL             BOT METAL         
  5209.37      960.63           8    TOP METAL             BOT METAL         
     3900        1900          90    TOP METAL             BOT METAL         
     3100        1900          90    TOP METAL             BOT METAL         
     6824        1058          10    TOP METAL             BOT METAL         
     6862        1054          10    TOP METAL             BOT METAL         
     6830         942          10    TOP METAL             BOT METAL         
